,tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,genre_labels
0,98,Gladiator,2000-05-04,2000,en,"[28, 18, 12]",21.0347,8.221,20485,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","['Action', 'Drama', 'Adventure']"
1,111646,Biyaheng Langit,2000-10-25,2000,en,"[18, 28, 10749]",17.0227,2.0,2,"Biyaheng Langit tells the story of Bea, a young Filipino-American (Joyce Jimenez). Bea is bored; all she wants in life is to raise five thousand dollars so that she can live independently in the United States. To relieve her boredom, Bea follows her grandmother (Nida Blanca) to the casino, where they gamble all night; this is where she meets Danny (Mark Anthony Fernandez), a runner who collects money from the tables for Bosing (Bembol Roco).","['Drama', 'Action', 'Romance']"
2,107,Snatch,2000-09-01,2000,en,"[80, 35]",14.6372,7.816,9731,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.","['Crime', 'Comedy']"
3,11688,The Emperor's New Groove,2000-12-15,2000,en,"[12, 16, 35, 10751, 14]",14.7474,7.558,7162,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne and his human form with the help of Pacha, a gentle llama herder.","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
4,1359,American Psycho,2000-01-21,2000,en,"[53, 18, 80]",14.5561,7.406,11963,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","['Thriller', 'Drama', 'Crime']"
5,8358,Cast Away,2000-12-22,2000,en,"[12, 18]",12.4971,7.661,12043,"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.","['Adventure', 'Drama']"
6,77,Memento,2000-10-11,2000,en,"[9648, 53]",12.2259,8.176,15877,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","['Mystery', 'Thriller']"
7,8871,How the Grinch Stole Christmas,2000-11-17,2000,en,"[10751, 35, 14]",12.6745,6.786,8144,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,"['Family', 'Comedy', 'Fantasy']"
8,4247,Scary Movie,2000-07-07,2000,en,[35],12.5479,6.38,7501,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",['Comedy']
9,955,Mission: Impossible II,2000-05-24,2000,en,"[12, 28, 53]",11.5558,6.139,7404,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.","['Adventure', 'Action', 'Thriller']"
10,8584,Shanghai Noon,2000-05-26,2000,en,"[12, 28, 35, 37]",9.2825,6.4,2701,"Chon Wang, a clumsy imperial guard, trails Princess Pei Pei when she's kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.","['Adventure', 'Action', 'Comedy', 'Western']"
11,4327,Charlie's Angels,2000-11-02,2000,en,"[28, 35, 12]",9.5298,5.855,4429,"The captivating crime-fighting trio who are masters of disguise, espionage and martial arts are back! When a devious mastermind embroils them in a plot to destroy individual privacy, the Angels, aided by their loyal sidekick Bosley, set out to bring down the bad guys. But when a terrible secret is revealed, it makes the Angels targets for assassination.","['Action', 'Comedy', 'Adventure']"
12,158431,Slow Burn,2000-09-12,2000,en,"[12, 53]",6.4952,4.13,23,A woman's lifelong pursuit of lost family diamonds is interrupted by the appearance of two escaped convicts.,"['Adventure', 'Thriller']"
13,31067,Fail Safe,2000-04-09,2000,en,"[18, 53, 10770]",7.8839,6.912,85,Cold War tensions climb to a fever pitch when a U.S. bomber is accidentally ordered to drop a nuclear warhead on Moscow.,"['Drama', 'Thriller', 'TV Movie']"
14,28346,Krocodylus,2000-12-04,2000,en,"[27, 28, 53, 35]",8.3221,4.398,54,"A sleazy producer develops a concept he dubs ""blood surfing"" -- tossing bloody fish remains into the water to lure sharks and then surfing through the animals as they chomp about. Along with his camerawoman, the producer brings two thrill-seeking surfers to the coast of Florida to capture some gnarly footage. But, as they blood surf, they encounter something even more deadly: a colossal prehistoric crocodile intent on devouring them.","['Horror', 'Action', 'Thriller', 'Comedy']"
