tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
137164,Bulandi,2000-01-07,2000,hi,[18],5.1555,5.7,7,A noble family presides over a small town in India.
1458029,Ganga Dacait,2000-01-01,2000,hi,[],6.3543,0.0,0,"GENRE: Action  STAR CAST: Sapna Sappu, Amit Pachori, Mohan Joshi, Ishrat Ali, Shakti Kapoor, Kiran Kumar, Moonmoon Sen, Joginder Shelly, Anu Kashyap, Satnam Kaur, Brij Gopal"
80064,Bawandar,2000-11-17,2000,hi,[],4.6203,6.0,3,"Shoba T. Mathur works for the Central Government in India and her job is to create awareness against child-marriage and other social evils that prevail due to general misinterpretation of the Hindu Shastras that demean women, particularly in Dhabri, a village in the state of Rajasthan. She does succeed in recruiting a young housewife, Saanvri, the mother of a young girl, Kamli, and wife of rickshaw driver, Sohan. Saanvri goes around the village raising awareness, and incurs the wrath of the village elders, mostly members of the Gujjar family."
159067,Kunwara,2000-07-14,2000,hi,"[35, 10749]",5.8179,5.2,12,Raju meets Urmila in New Zealand. They have a fast romance and things are going well until Raju must make a trip back to India...
46385,Hadh Kar Di Aapne,2000-04-14,2000,hi,"[10749, 35]",4.8994,4.8,23,"Raj Malhotra (Raju) (Govinda), a detective, goes on a European trip to help his friend Sanjay Khanna (Nirmal Pandey) prove that his wife is having an extramarital affair. Khanna and his wife Anjali (Ritu Shivpuri) think that their counterpart is cheating on their relationship and each of them want proof to easily file for divorce. They stop living in the same house and believe their spouse has gone to Europe with their boyfriend/girlfriend. Anjali sends her friend (Rani Mukerji), who shares the same name, on this trip to get information regarding her husband. In a mix-up of different identities, Raju and Anjali fall in love and then, eventually, solve their misunderstandings."
35064,Dhadkan,2000-08-11,2000,hi,"[18, 10749]",5.6901,6.395,43,"Anjali and Dev are in love with each other and plan to marry, but her family gets her married to Ram. Years later, Dev shows up to reunite with Anjali, however, she has fallen in love with Ram."
21614,Hera Pheri,2000-03-31,2000,hi,"[35, 80]",5.0792,7.024,292,"Two tenants and a landlord, in desperate need of money, chance upon a ransom call via a cross connection. They hatch a plan to claim the ransom for themselves."
407311,Shikaar,2000-07-19,2000,hi,"[28, 80, 10402]",5.1947,4.0,1,"Sree Nath falls in love with a poor woman and both get intimate, resulting in her getting pregnant. When the time comes for Sree to marry her, he renounces her and instead marries the daughter of wealthy Mr. Saxena. She gives birth to a boy, Vikram, and shortly thereafter passes away. Sree's step-brothers, Badri and Kedar, move in with Sree, and soon his health starts to deteriorate. They hire a nurse to look after him, but he keeps on getting worse."
306132,Anjaane,2000-01-01,2000,hi,[18],4.1059,0.0,0,"Aditya and Shivani are a married couple who have spent the last few years living together. They share two beautiful children together and everything is going seemingly well until a new young lady introduces herself into Aditya's life. He is so head over heels in love with this new young lady that he decides to start a new life with her. Against his better judgment, Aditya leaves Shivani and his two children behind in order to pursue a new life with this lady. The two are very close until something from within their relationship causes a massive breakdown in communication."
232696,Joru ka Ghulam,2000-06-15,2000,hi,[],3.9021,5.9,13,"Dhaneshwar Pitamber, has four daughters. All the four daughters are not ready to marry, each one having their own reason. The daughters always play mischievous tricks on the one coming with a proposal of marriage, and their gang leader is the youngest daughter Durga. Kader Khan is so desperate to get his daughters married that he is ready to give a dowry of five crores to each son-in-law. Raja and Kanahaiya are small time con men at the airport. Raju Patel is an NRI from America who comes to India to get married to one of the daughters of Dhaneshwar."
433979,Jwalamukhi,2000-01-02,2000,hi,[],4.0964,10.0,1,After a Cop tries to change the rules in a village he gets killed by the village goons. His spirit then starts to haunt them. He also helps his fellow cop to fight against his killers.
11518,Mohabbatein,2000-10-27,2000,hi,"[18, 10749]",3.0516,7.05,280,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster."
819020,Agniputra,2000-01-01,2000,hi,[28],2.7622,10.0,1,"Arjun, a devoted son and brother, loves his mother and three sisters dearly. He sacrifices his love and happiness to safeguard his family against all odds."
633558,Sultaan,2000-02-02,2000,hi,[],2.8468,10.0,1,"Kabira helps Ayesha in saving her garage from local goons. However, he hides the fact that he was an honest inspector sometime ago. Ayesha decides to find out the reason for his transformation."
442869,Gang,2000-04-14,2000,hi,"[18, 28, 80]",1.5206,5.0,2,"After falling prey to underworld, four friends jeopardise their personal lives with point of no return."
985443,Fursat Mein,2000-01-14,2000,hi,[],1.781,0.0,0,"Irrfan plays an eccentric senior citizen who goes out of his way to protect whoever he feels is being oppressed. His tactics include using fake visiting cards to intimidate people, much to the chagrin of his daughter."
