tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
1168021,Preethsu Thappenilla,2000-05-12,2000,kn,[18],1.2758,0.0,0,"A happy-go-lucky man falls head over heels in love with a girl at first sight. By a twist of fate, they become victims of a tragic incident, which takes their relationship to the next level."
991350,Durgada Huli,2000-02-24,2000,kn,[18],0.8775,0.0,0,An archaeologist races against time to find a buried treasure after someone kidnaps his family and holds them hostage to make a trade.
334058,Preethse,2000-01-01,2000,kn,[],0.9269,0.0,0,"Preethse is a 2000 psychological thriller Kannada film starring Upendra, Shivrajkumar and Sonali Bendre."
282568,Maduve,2000-07-10,2000,kn,[10749],0.6636,0.0,0,Maduve (2000) is a 2000 Kannada film directed by Umakanth V and produced by Ramalingeswara Rao. The film stars Ramesh Aravind and Charulatha in lead roles. Music was composed by S A Rajkumar.
256041,Sparsha,2000-06-09,2000,kn,"[10749, 18, 53, 35]",0.8046,5.7,5,"Sudeep accidentally knocks down Radha on the railway tracks and she loses a leg. Guilt-ridden, he offers to marry her without letting her know that he was behind the accident."
1503611,Devara Maga,2000-06-15,2000,kn,"[10751, 18, 28]",0.2676,0.0,0,"On learning that he is an orphan, Bharath leaves his home heartbroken. Though he is brought back home by his foster father, Rajegowda, some people in the family resent it."
1506169,Soorappa,2000-03-27,2000,kn,"[18, 28]",0.4404,0.0,0,"When a woman from a neighbouring village falsely accuses the village head of harassing her, tension spreads between the two villages, which ultimately leads to a riot making the situation worse."
408593,Munnudi,2000-10-27,2000,kn,[18],0.5843,0.0,0,"A film based around the life of a Muslim woman, Rukhia Begum, set in the coastal regions of Dakshina Kannada. She gets married to an Arab businessman who later deserts her. The story essays Rukhia Begum's struggles to protect her daughter."
1338442,Nagadevathe,2000-01-28,2000,kn,[],0.4769,0.0,0,"Naganna, a devotee of the Snake goddess, vows celibacy in her honour only to be seduced by a dancer. Soon, he is found dead because of a snake bite which leads to his brother's hatred for the goddess."
235423,Shabdavedhi,2000-01-02,2000,kn,"[80, 18]",0.3773,7.3,5,"Shabdavedi is about Sandeep Rajkumar, a strict police officer crusading against narcotics. The man is so straight that when his wife Jaya Prada refuses to reveal the identity of a key link in the drug ring that he is investigating. He beats her in lockup. Eventually he overcomes all the usual attempts to throw him off the chase like tarnishing his reputation and implicating him in lock-up death cases and tracks the ring down to its last man."
715567,Yajamana,2000-12-01,2000,kn,"[18, 10751]",0.2694,5.0,1,"Shankar sacrifices his own interests and refuses to marry in order to support and educate his younger brothers. However, his life changes when a girl falls in love with him."
1507388,Galate Aliyandru,2000-09-20,2000,kn,"[35, 10749]",0.1384,0.0,0,"A young man runs away from his house when his father asks him to get married to his friend's daughter. Later, unknowingly, he comes across the same girl and falls in love with her."
1519395,Chamundi,2000-05-04,2000,kn,"[28, 18]",0.0837,0.0,0,"When Chamundi kills a criminal to put an end to his atrocities, the court acquits her due to lack of evidence. Notwithstanding, her sister, a lawyer, is determined to put her behind bars."
1514690,Deepavali,2000-05-08,2000,kn,"[35, 18]",0.1216,0.0,0,"The sudden death of a rich woman's son paves way for her relatives to exploit her. However, when a young man enters her life, she finds a ray of hope as he vows to protect her."
761639,Husharagiri,2000-01-01,2000,kn,[],0.0684,0.0,0,An adult themed Kannada movie
