tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
78962,Vallarasu,2000-04-14,2000,ta,"[28, 18]",5.0914,5.7,3,"Vallarasu is the honest Deputy Commissioner of Police who has arrested Wasim Khan, a terrorist from Pakistan. His wife is Anjali, and they both have two children. Vallarasu kills his senior police officer and father-in-law because he knows the latter is working alongside terrorists."
270040,Manu Neethi,2000-12-23,2000,ta,[],4.1978,2.0,1,"Muthazhagu, a true patriot, had fought against the British, had gone to jail, and is a man much honoured and respected by the villagers. So when he commits an indiscrete act the whole village is shocked. But they forgive him, for it was an act committed under the influence of liquor.  The only disgruntled element in this scenario is the village girl's uncle Vellaiyan (Nasser) who would have married her but for this misfortune.  The man vows revenge and gets his chance twenty years later . The nephew (Murali) ignorant of his uncle's motives finds out the truth later. His admiration for Muthazhagu, love for the girl, and attachment to his uncle makes him attempt to bring about a re-conciliation between the two warring factions, which were threatening to turn into a fight between the two villages."
338843,Bharathi,2000-09-01,2000,ta,[18],3.5181,0.0,0,"A biographical account of the life of the Indian freedom fighter, Mahakavi Subramaniya Bharathiar, who defied conventional norms to bring equality in society."
78470,Kannan Varuvaan,2000-05-25,2000,ta,"[18, 35, 10751]",2.963,0.0,0,"Kannan's (Karthik) ambition in life is to take up the construction of the temple left incomplete by his forefathers. Funds are not forthcoming. Goundamani assures him that with his employer's help Kannan's dream could become a reality. But Goundamani is disappointed when his employer, the wealthy landlady's (Manorama) grandson Raghu (Ranjith) turns out to be money minded and heartless. In a fit of anger, Goundamani pushes him into the waters of a river and thinks he has committed a murder. Predictably Kannan is made to enter the scene as an impostor. What follows next forms the crux of the story."
469349,Ennamma Kannu,2000-06-16,2000,ta,[],3.1663,0.0,0,"Ennamma Kannu is a 2000 Indian Tamil drama film, directed by Sakthi Chidambaram, starring Sathyaraj, Devayani and Ranjith in lead roles. The film had musical score by Deva and was released in 2000."
1121874,Krodham 2,2000-09-01,2000,ta,[28],2.4418,0.0,0,"Krodham 2 is a 2000 Indian Tamil language thriller film, produced, written and directed by Prem Menon. The film stars Prem Menon himself, alongside Radhika Chaudhari and Khushbu, while Nassar and Mansoor Ali Khan portray supporting roles."
303104,Athey Manithan,2000-04-28,2000,ta,"[18, 27]",1.8869,0.0,0,"Despite being in love with Bhagavathi, a poor dancer, Mandhira chooses to marry Bhavani, a rich girl. He ends up killing a pregnant Bhagavathi when she shows up just before his marriage."
66521,Vaanavil,2000-10-27,2000,ta,[18],1.9318,5.5,1,
443716,Koodi Vazhnthal Kodi Nanmai,2000-07-15,2000,ta,"[35, 18, 10751]",1.2755,5.2,2,Koodi Vazhnthal Kodi Nanmai is the story of three brother and their families who live together.
49035,Alaipayuthey,2000-04-14,2000,ta,"[10749, 18]",1.5662,7.391,46,"Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be."
69426,Kandukondain Kandukondain,2000-05-05,2000,ta,"[18, 10749]",1.2917,6.972,36,Two young women with differing views on love find themselves with three suitors in this modern take on Jane Austen's 'Sense and Sensibility' set in Tamil Nadu.
60579,Hey Ram,2000-02-18,2000,ta,"[36, 18, 80]",1.1169,7.0,59,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.
1190653,Karisakattu Poove,2000-06-23,2000,ta,"[28, 35, 18, 10749]",0.391,0.0,0,"Pounraasu, who is secretly in love with Nagamani, chooses to remain silent when her marriage is fixed with his elder brother since he does not want to come in the way of his elder brother's happiness."
476903,Palayathu Amman,2000-10-28,2000,ta,"[18, 14]",0.4698,7.0,1,A newly married couple give birth to a baby who is the reincarnation of goddess Devi; the goddess takes human form to battle evil.
356059,Sudhandhiram,2000-02-25,2000,ta,"[28, 80, 18]",0.3588,5.0,1,"The film features Arjun and Rambha in lead roles whilst Raghuvaran, Raadhika and Sharat Saxena play supporting roles."
69654,Kushi,2000-05-19,2000,ta,"[18, 10749]",0.4946,6.9,29,"College friends Jenny and Shiva part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting."
78468,Thai Porandaachu,2000-02-19,2000,ta,"[18, 35]",0.2498,5.5,2,"Giri and Kutti earn their livelihood as house-brokers in the city mainly through their glib talk. Their troubles start when ""Torture Dharma"" is unexpectedly released from Jail on bail. Giri is the caretaker of Dharma`s house, a portion of which he rents out to Geetha who has come to the city to meet her lover Aravind. Giri to save Geetha from Dharma lies that she is his wife. He is forced to tell a series of lies to keep up the deception."
69446,Rhythm,2000-09-15,2000,ta,"[10749, 18]",0.4678,7.458,12,"Karthikeyan, a photo editor in Mumbai, is a widower whose parents wish to see him settled and happy. Chitra, a widow with a son, gives them hope, unaware that their pasts are intertwined."
78961,Vaanathaippola,2000-01-13,2000,ta,[18],0.2559,6.5,5,"ellaichaamy (Vijayakanth) thinks the world of his three brothers, even giving up marriage when he learns that the woman he loves plans to send them to a hostel after the wedding. The brothers live with their grandmother (S. N. Lakshmi). He works hard to raise them and they too reciprocate his love and affection. The eldest of the three, Muthu (Vijayakanth again), is a cook in a small hotel, When Vellachamy learns that Muthu is in love with his childhood playmate (Meena) he goes to the city to his friend (Rajiv) with the marriage proposal. Only to be insulted! Circumstances bring Muthu to the city, to the girl's palatial bungalow where he works as a cook. The girl is arrogant and rude till she realises that Muthu is her childhood pal. And now it is she who does all the wooing and persuades her father to get her married to Muthu."
264806,Vetri Kodi Kattu,2000-06-30,2000,ta,"[18, 10751]",0.538,6.6,4,"Vetri Kodi Kattu is a Tamil film directed by Cheran starring Murali, Parthiban, Meena, Manorama and Malavika. It is about 2 men who find the way to prosperity with their effort in their own country after being cheated by a man who promised them a lucrative job in Dubai."
331659,Ennavale,2000-12-22,2000,ta,[18],0.4468,0.0,0,"When a man and his friends start a music troupe that performs at weddings, he is highly motivated by his landlord's daughter."
78621,Maayi,2000-08-21,2000,ta,[18],0.3801,5.0,1,"Maayi is the well-respected, do-gooder in the village. He sees women in the village as his sisters and even conducts their marriages. He is a man who is ready to kill his father when he learns that he had a second wife. But the father opts to kill himself rather than face his son and so, Maayi brings his stepsister Lakshmi (Suvalakshmi) to live with him.When the local MLA(Rajan. P. Dev) comes to him for support, he refuses and the MLA loses the election. But his son(Anand), who admires Maayi, marries Lakshmi. Meanwhile Bhuvaneswari (Meena),..."
422044,Snegithiye,2000-11-24,2000,ta,"[9648, 53]",0.4652,7.0,3,"Vasu and Radhika try to avoid Radhika's arranged marriage by saying that she loves Ramesh, a fictional man. However, they get into trouble when a man named Ramesh really walks into their life."
69404,Mugavari,2000-02-02,2000,ta,"[18, 10749, 10751]",0.3785,6.6,10,"Sridhar, an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success."
373320,Budget Padmanabhan,2000-09-08,2000,ta,"[10751, 35]",0.3593,5.6,4,"Padmanabhan has earned the nickname Budget as he is a miser. However, he struggles to save his father's house from money lenders as his wife is a spendthrift and never lets him save enough."
69577,Thenali,2000-10-26,2000,ta,"[35, 18]",0.6171,7.0,22,"Thenali suffers from panophobia and seeks doctor Kailash's help but the latter denies his request. Later, when Kailash goes on a vacation with his family, Thenali joins them and charms his sister."
280963,Eazhaiyin Sirippil,2000-02-03,2000,ta,[],0.2942,7.0,1,"Eazhaiyin Sirippil is a 2000 Tamil film directed by SUBHASH. The film stars Prabhu Deva, Kausalya, Roja and Suvalakshmi in lead roles."
264069,Uyirile Kalanthathu,2000-09-23,2000,ta,"[10749, 28]",0.3454,4.417,6,"A man, who is the youngest in the family and much pampered, is detested by his elder brother. He falls for a girl and decides to meet her family, but out of animosity, his brother damages his image in front of them."
78471,Sandhitha Velai,2000-04-14,2000,ta,[18],0.3632,0.0,0,"On a trip, Aadalarasu meets his lookalike and promises to fulfil the latter's request. His look-alike dies and he takes his place in his family while his own family thinks he is dead."
502276,Sabhash,2000-09-01,2000,ta,"[53, 80]",0.4371,6.0,2,"The movie opens with Cheenu, who is blind, and his good friend Dharan finding out that Cheenu's wife Shanti has died by hanging herself from the ceiling of their house. The police close the case as a suicide but mysterious happenings force Cheenu to suspect that his wife may have been the victim of foul play. Evidence surfaces which points to Dharan's guilt. But he resolutely maintains that he is innocent while Cheenu too believes his friend."
69659,Priyamaanavale,2000-10-26,2000,ta,[18],0.3374,6.6,10,"A modern man, Vijay, marries his father's sincere secretary who hails from a poor family. But their stringent prenuptial agreement grants him the power to end his marriage after 12 months."
