tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
232304,Yuvaraju,2000-04-14,2000,te,"[10749, 18]",4.7158,7.8,4,A young man and his classmate fall in love with each other and decide to get married; everything goes smoothly till an unknown woman lands up at their engagement ceremony; soon the truth about his past is revealed.
240143,Annayya,2000-01-07,2000,te,"[10751, 35]",4.9117,5.8,5,"Rajaram (Chiranjeevi), owner of a fleet of lorries, meets Devi (Soundarya), a garment factory owner. After that acquaintance, she once seeks his help in dealing with two street ruffians, who were teasing her sisters, Lata (Chandini) and Geetha (Sishwa), and is shocked when the culprits turn out to be his brothers, Ravi (Ravi Teja) and Gopi (Venkat). Rajaram takes the incident lightly as the pranks of youngsters and is very lenient to them. With more such incidents, the two fall in love, with the brothers and sisters not far behind.  On his brothers' request, Rajaram approaches Devi for her sisters' hands in marriage to his brothers. But she curtly refuses her consent on grounds that the two are wayward drunkards. Rajaram reacts sharply to it and vows to get his brothers married to her sisters.  Since then on he is more exacting with his brothers and brings about a transformation in them. Devi agrees to their marriage."
330751,Kouravudu,2000-07-28,2000,te,[],2.9706,0.0,0,Kouravudu is a 2000 Telugu movie starring Nagendra Babu and Ramya Krishnan.
435916,Bagunnara?,2000-05-08,2000,te,[],2.7299,10.0,1,A young woman meets a man and falls in love with him but things take a turn when her father learns about their relationship and he plans to separate them.
521440,Vamsodharakudu,2000-01-14,2000,te,"[18, 10749]",1.042,6.0,1,"Suryam is a physical director in a local college and lives with his mother Varalakshmi, a widow. The college in which Suryam work belongs to an Industrialist called Sudarshan Rao."
486276,Kodanda Ramudu,2000-01-01,2000,te,"[18, 10749]",0.8834,6.0,1,"Ramu, a tour guide, is deeply in love with Mounika, who does not believe in the concept of love. She pretends to be smitten by him and then humiliates him when he proposes marriage."
521449,Sammakka Sarakka,2000-01-15,2000,te,[18],1.0092,0.0,0,"Movie director by Dasari Narayana Rao, with lead roles by Suman, Ramya Krishna & Roja."
137248,Chiru Navvuto,2000-11-10,2000,te,[],0.5088,7.7,3,Chirunavvutho is the story about Venu (Venu) who moves to Hyderabad after being dumped by Aruna (Prema). He falls in love with another girl called Sandhya (Shaheen Khan) and proposes to her. Sandhya who is already engaged to another man rejects his proposal. How Venu wins her love is the rest of the story.
280334,Goppinti Alludu,2000-07-21,2000,te,"[10751, 35]",1.2507,0.0,0,"Goppinti Alludu is a family based movie in which, Murali Manohar(Balakrishna) is son of the industrialist SVR(SPB). He arrives India from Switzerland after finishing his graduation. SVR fixes a girl for him and asks him to marry her. To get rid of unwanted marriage, Maohar escapes back to Switzerland. Sowmya(Simran) is the grand daughter of Achyuta Ramayya(Satyanarayana). Achyuta Ramayya"
281880,Vamsi,2000-10-04,2000,te,"[10749, 28]",0.649,4.8,6,"Vamsi, a fashion designer, falls in love with Shilpa, the daughter of a wealthy industrialist. When she is abducted by Arjun, her father begs Vamsi to rescue her despite his initial dislike for him."
1009712,Moodu Mukkalaata,2000-09-01,2000,te,"[10749, 35]",0.3835,0.0,0,"Three girls, Shravani, Lahari and Aliveni, are in love with Shanti Swaroop, a lecturer. His life takes a turn when these girls execute different ways to woo him."
137466,Nuvvu Vastavani,2000-04-05,2000,te,[],0.5376,6.2,5,"The movie starts with Chinni (Nagarjuna) revealing, on a train journey from Pune to Hyderabad, that he just got out of jail after seven years. His past is revealed in a flash back.  He had been a singer, waiting for the big break. Indu (Simran Bagga) hears his voice, though she doesn't see him and becomes his fan. When Chinni realizes this, he tries to reveal who he is but circumstances place him and Indu in situations where she ends up thinking that he is a rowdy. Chinni ultimately becomes responsible for her losing her eyesight too.  He devotes himself to her from then onwards attending to her every need. She learns to respect and love him too, thinking that he is the singer and not knowing that he is the same person she thought was a rowdy."
80921,Badri,2000-04-20,2000,te,"[10749, 18, 10751]",0.4234,5.9,14,"Vennela accuses Badri of not loving her sincerely and challenges him that no one can love him like she does. However, their lives take a turn when he meets Sarayu and she falls madly in love with him."
117066,Dollar Dreams,2000-01-02,2000,te,[18],0.4632,6.5,4,Six young people struggle with the choice between moving to the US or staying in India.
81064,Kalisundam Raa,2000-01-14,2000,te,"[10751, 18]",0.4679,7.0,6,"Raghaviah and Ram Mohan Rao are brothers-in-law. But Ram Mohan Rao is at loggerhead with Raghavaiah because of a family feud. Raghavaiah is nearing his 60's and it's time for his Shastipoorti ceremony. It's time for gathering, folks!"
115265,Azad,2000-09-29,2000,te,"[28, 80, 18]",0.4457,5.8,5,"Azad (Telugu: ఆజాద్) is a 2000 Telugu film directed by Tirupathi Swamy. It stars Akkineni Nagarjuna in the lead role and Raghuvaran, Shilpa Shetty, and Soundarya in other important roles. C. Ashwini Dutt produced the film and Mani Sharma composed music. The film was released on 29 September 2000 and was dubbed into Hindi as Mission Azaad. The film was later remade into Tamil as Velayudham. The story was inspired from 1989 hindi film Main Azaad Hoon in which Amitabh Bachchan played the lead role of Azaad."
844395,Ravanna,2000-03-03,2000,te,[28],0.1242,0.0,0,"Ravanna, a wayward youth, is misguided and used by the local MLA to threaten those who oppose him. Things start to change and he goes through a behavioural shift after falling in love with Sirisha."
872012,Bachi,2000-11-09,2000,te,"[28, 18]",0.4029,0.0,0,"A police officer in the special branch, Bhaskar Chenmai, alias Bachi (Jagapathi Babu) one day receives a boy Habibi (Master Teja) from a courier from Dubai. Claiming that his mother had told him that Jagapati Babu is his father, the boy starts addressing him as father. The uncomfortable Bachi tries various methods to get rid of the boy, but his ways serve only to get him drawn towards the boy and become friends ultimately. Meanwhile, Bachi is the chief security officer for Tatineni Koteswara Rao (Prakash Raj), the Rs 50-crore winner of the Paris lottery. But Bachi's search for the boy continues and he manages to nail the father by his name, Bachi (Pruthvi Raj) and arrests him. But is he the real villain of the piece?"
307821,Devullu,2000-11-09,2000,te,[18],0.346,8.0,2,Two children whose parents are about to get divorced visit seven holy shrines at their grandmother's behest who believes the gods are angry with her because she did not fulfill her promise.
82200,Nuvve Kavali,2000-10-13,2000,te,"[18, 10751, 10749]",0.3978,6.8,4,Childhood friends Tarun and Madhu do not realise they are in love until it's too late.
