,tmdb_id,title,release_date,release_year,genres,original_language,popularity,vote_average,vote_count,overview
0,111646,Biyaheng Langit,2000-10-25,2000,"[18, 28, 10749]",en,23.5141,2.0,2,"Biyaheng Langit tells the story of Bea, a young Filipino-American (Joyce Jimenez). Bea is bored; all she wants in life is to raise five thousand dollars so that she can live independently in the United States. To relieve her boredom, Bea follows her grandmother (Nida Blanca) to the casino, where they gamble all night; this is where she meets Danny (Mark Anthony Fernandez), a runner who collects money from the tables for Bosing (Bembol Roco)."
1,98,Gladiator,2000-05-04,2000,"[28, 18, 12]",en,21.4727,8.221,20479,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences."
2,11688,The Emperor's New Groove,2000-12-15,2000,"[12, 16, 35, 10751, 14]",en,13.9177,7.559,7158,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne and his human form with the help of Pacha, a gentle llama herder."
3,1359,American Psycho,2000-01-21,2000,"[53, 18, 80]",en,13.0281,7.4,11958,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
4,10867,Malena,2000-03-16,2000,[18],it,13.4494,7.428,2439,"During WWII, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
5,107,Snatch,2000-09-01,2000,"[80, 35]",en,13.6436,7.817,9725,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond."
6,4247,Scary Movie,2000-07-07,2000,[35],en,10.5123,6.38,7496,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!"
7,23990,Scarlet Diva,2000-05-26,2000,[18],it,10.7269,4.7,67,"A young Italian actress embarks on a self-destructive spree of sex, drugs and other excess while doing some soul searching to find the path for redemption."
8,158431,Slow Burn,2000-09-12,2000,"[12, 53]",en,10.4472,4.13,23,A woman's lifelong pursuit of lost family diamonds is interrupted by the appearance of two escaped convicts.
9,8358,Cast Away,2000-12-22,2000,"[12, 18]",en,12.9295,7.661,12038,"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home."
10,77,Memento,2000-10-11,2000,"[9648, 53]",en,12.7904,8.176,15871,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
11,8871,How the Grinch Stole Christmas,2000-11-17,2000,"[10751, 35, 14]",en,11.0486,6.787,8139,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...
