tmdb_id,title,release_date,language,genres,popularity,vote_average,overview,cast,director,keywords
875828,Peaky Blinders: The Immortal Man,2026-03-05,en,"[80, 18]",290.8743,7.363,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",cillianmurphy barrykeoghan rebeccaferguson timroth stephengraham,tomharper,england gangster world war ii period drama 1940s based on tv series
687163,Project Hail Mary,2026-03-15,en,"[878, 12]",298.5383,8.176,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",ryangosling jamesortiz sandrahüller lionelboyce milanavayntrub,phillord,based on novel or book space travel space mission alien space science teacher save the planet amused celebratory vibrant
1290821,Shelter,2026-01-28,en,"[28, 80, 53]",291.7651,6.724,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",jasonstatham bodhiraebreathnach michaelshaeffer annacrilly billnighy,ricromanwaugh,ghosts of the past apologetic solitary life
1159559,Scream 7,2026-02-25,en,"[27, 9648, 80]",262.941,5.804,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",nevecampbell courteneycox isabelmay jasminsavoybrown masongooding,kevinwilliamson,mask artificial intelligence (a.i.) sequel murder serial killer slasher whodunit killing spree blunt self-referential reboot crime spree disturbed murder mystery masked villain murder spree teen horror apathetic
1084187,Pretty Lethal,2026-03-13,en,"[28, 53, 27]",280.2981,6.75,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,maddieziegler lanacondor irisapatow millicentsimmonds avantika,vickyjewson,hungary dance competition ballerina prima ballerina remote inn admiring fight for survival dance troupe
1265609,War Machine,2026-02-12,en,"[28, 878, 53]",227.9888,7.267,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",alanritchson dennisquaid stephanjames jaicourtney esaimorales,patrickhughes,military training military sci-fi u.s. army ranger
1171145,Crime 101,2026-02-11,en,"[80, 53]",226.6967,7.0,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",chrishemsworth markruffalo halleberry barrykeoghan monicabarbaro,bartlayton,"robbery based on novel or book jewelry los angeles, california police detective diamond heist insurance lapd motorcycle chase jewel robbery ford mustang assertive bewildered callous antwerp diamonds"
1198994,Send Help,2026-01-22,en,"[27, 53, 35]",234.9747,7.07,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",rachelmcadams dylano'brien edyllismail dennishaysbert xaviersamuel,samraimi,bullying role reversal survival struggle for survival survival horror deserted island power struggle colleagues bullying in the workplace plane crash gender inequality comedy thriller comedy horror
840464,Greenland 2: Migration,2026-01-07,en,"[12, 53, 878]",190.0125,6.429,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",gerardbutler morenabaccarin romangriffindavis tommieearljenkins trondfausaaurvåg,ricromanwaugh,natural disaster shelter survival disaster shocking frantic
1297842,GOAT,2026-02-11,en,"[16, 35, 10751]",218.8577,7.686,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",calebmclaughlin gabrielleunion stephencurry aaronpierre nicolacoughlan,tyreedillihay,underdog friendship sports allies ambition bullying challenge basketball rivalry coming of age anthropomorphism animals intimidation stereotype basketball team basketball player big dreams imaginary world sneakers vulture playful talking animal anthropomorphic animal athlete inspirational enemy courage feel good heartwarming exciting fantasy sports admiring amused joyful sports comedy
