tmdb_id,title,release_date,language,genres,popularity,vote_average,overview,cast,director,keywords
1582770,Dhurandhar: The Revenge,2026-03-18,hi,"[28, 80, 53]",115.7554,7.9,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",ranveersingh arjunrampal r.madhavan sanjaydutt saraarjun,adityadhar,undercover espionage spy patriotism nationalism gore gang leader pakistan sequel torture india terrorist attack undercover operation gun violence aftercreditsstinger duringcreditsstinger bloodshed political corruption weapons excited
1213898,Border 2,2026-01-23,hi,"[28, 18, 10752]",14.9955,6.7,"Three idealistic soldiers in the Indian army, navy and air force face grueling combat conditions in this film set during the 1971 Indo-Pak war.",sunnydeol varundhawan diljitdosanjh ahanshetty monasingh,anuragsingh,1970s based on true story sequel indian army historical drama india pakistan war historical epic war drama indian air force india pakistan conflict epic drama
1389149,Accused,2026-02-27,hi,"[53, 9648, 18]",13.8527,5.115,"When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.",konkonasensharma pratibharanta adityananda mashhooramrohi monicamahendru,anubhutikashyap,
1196946,Ikkis,2026-01-01,hi,"[36, 10752, 18]",7.1763,6.0,"Second Lieutenant and India's youngest Param Vir Chakra recipient, Arun Khetarpal, gave his life fighting for his battalion and the country during the 1971 Battle of Basantar. Ikkis also takes a reflective look at the futility of war through the eyes of Khetarpal's father, who visits his ancestral home in Sargodha and Alma Mater for reunion, which now happens to be in post-partition Pakistan, 30 years later.",dharmendra jaideepahlawat agastyananda simarbhatia shreebishnoi,sriramraghavan,1970s based on true story period drama historical drama india pakistan war war drama based on real person biographical drama
656908,Ramayana,2026-11-08,hi,"[28, 18, 14]",5.6262,0.0,First part of the epic Ramayana duology.,ranbirkapoor saipallavi ravidubey sunnydeol yash,niteshtiwari,god hindu mythology
1262547,Subedaar,2026-03-05,hi,"[28, 80, 18]",3.543,6.5,"Haunted by loss and drifting away from his daughter, a retired Subedaar Arjun Maurya’s newly found civilian life is jolted by one reckless act. As old wounds reopen, he must summon the warrior within to face a new kind of war - one that hits too close to his heart.",anilkapoor radhikkamadan adityarawal saurabhshukla monasingh,sureshtriveni,
1339876,Mardaani 3,2026-01-30,hi,"[28, 80, 53]",7.6184,6.7,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",ranimukerji mallikaprasad jankibodiwala jisshusengupta mikhailyawalkar,abhirajminawala,
1282440,Happy Patel: Khatarnak Jasoos,2026-01-16,hi,"[35, 28, 10749]",2.9142,8.4,"Happy Patel, a chronically unsuccessful MI7 operative, is finally assigned a mission in Goa, where he uncovers his Indian roots and must rescue a high-profile scientist from crime lord Mama. Unaware of his Indian heritage and armed with a comically British accent, Happy’s blunders trigger a string of chaotic mishaps that could lead him to expose a criminal network.",virdas monasingh mithilapalkar sharibhashmi srushtitawade,virdas,hilarious
1145110,King,2026-12-24,hi,"[28, 53]",2.5757,0.0,"Mentor and disciple embark on a perilous journey, pushing their survival skills to the limit against overwhelming odds and unforgiving environments.",shahrukhkhan suhanakhan deepikapadukone abhishekbachchan jackieshroff,siddharthanand,
1616993,Safia/Safdar,2026-01-16,hi,"[18, 10749]",1.7686,2.0,"When Salman falls ill, his saloon is at stake as the local moneylender wants it. The only person standing in the way is Salman's daughter, Safia. Will she be able to keep the salon running as Safdar?",aditisubedi kanwaljitsingh neetupandey naseeruddinshah siddharthmenon,babaazmi,
