tmdb_id,title,release_date,language,genres,popularity,vote_average,overview,cast,director,keywords
1213243,Toxic,2026-06-04,kn,"[28, 53]",4.2679,0.0,"Set in a bygone era, this gripping tale unfolds in the coastal paradise of Goa, wherea powerful drug cartel pulls the strings behind a facade of sun-soaked beaches and vibrant culture.",yash kiaraadvani humaqureshi nayanthara tarasutaria,geethumohandas,
1647899,Love Mocktail 3,2026-03-19,kn,"[10749, 18]",0.47,0.0,,darlingkrishna milananagaraj samvruthasunil abhilash dileepraj,darlingkrishna,
1637212,Second Case of Seetharam,2026-02-20,kn,"[53, 80]",0.323,0.0,"Inspector Seetharam, hoping to reunite with his estranged sister after years apart, must track down a brutal, psychotic serial killer terrorising the town of Anegadde.",vijayraghavendra gopalkrishnadeshpande ushabhandary,deviprasadshetty,
1623960,Kattemar,2026-01-23,kn,[18],0.3065,0.0,"A man who stopped believing in God after tragedy is guided back to faith through a mysterious event shaped by someone else's deep devotion .It's a journey of lost hope, the longing, and divine realization with thriller, mysterious journey.",swarajshetty jptuminad lanchulalks harshithakulal aakanksharao,sachinkatla,tulu language
1604264,Rakkasapuradhol,2026-02-06,kn,"[53, 18]",0.3223,0.0,"Inspector Shiva an alcoholic officer struggling with schizophrenia, is transferred to Rakkasapura, a seemingly quiet village with a low crime rate. Soon The village’s peace is shattered by a series of gruesome murders. Young women are found dead, dressed in bridal finery with their faces charred beyond recognition. Witness as a troubled cop in rural India confronts his own demons while pursuing a complex case that tests his moral boundaries and beliefs.",rajbshetty archanakottige swathishtakrishnan bsuresha salminsheriff,ravisaranga,
1624506,Tulasi,2026-01-23,kn,"[10402, 14]",0.2118,0.0,"Tulasi is a soulful Kannada music video by Sumedh K that blends gentle melodies with emotionally driven visuals. The song carries a calm, devotional undertone, using nature and intimate moments to explore themes of longing, purity, and inner reflection.",sushmithabhat pranviakshayj akshans.karkera krishnapoojary,vishnorao,
1353077,Your's Sincerely RAAM,2026-08-28,kn,"[10752, 10749, 35, 18]",0.1833,0.0,Upcoming Kannada Film,ramesharavind ganesh mahimanambiar nishvikanaidu bhavana,a.r.vikhyath,coming of age father son relationship independent cinema world cinema emotional drama emotional bond poetic cinema war backdrop journey film indian drama comedy drama war film character driven story global cinema new indian cinema upcoming indian movie hope and redemption modern indian storytelling
1650326,Mehta & Co.,2026-03-06,kn,[18],0.1816,10.0,"Set in the crowded lanes of Bangalore’s Chickpet, a reluctant son finds himself responsible for ‘Mehta & Co.’ — his father’s saree shop. As a new signboard law turns storefronts into sites of tension, a moment of violence forces him to confront grief he has long refused to face.",dheerajrajpurohit krishjain vigneshkamath anjuashaananth hukumchandsharma,rohitsen,mehta and co mehta & co
1647712,Shesha 2016,2026-03-06,kn,"[80, 53]",0.166,0.0,,johnkaippallil pramodshetty dynamicdevaraj sidharthasiva archanakottige,pradeeparsikere,
1638744,Sarala Subbarao,2026-02-20,kn,"[18, 10749, 35]",0.1434,0.0,"A romantic family drama set in 1970s Mysore that portrays the journey of Sarala and Subbarao as they balance love, tradition, and aspirations.",ajairao mishanarang rangayanaraghu veenasundar,manjuswaraj,period drama
1621486,JEEVA,2026-01-06,kn,"[18, 53]",0.1792,10.0,"In a world where everyone is expected to be on point 24/7, life isn’t lived anymore — it’s performed.  Always grinding.  Always proving.  Always “doing fine”.  But the mind keeps score.  And when it can’t take it anymore…  the body hits pause.  JEEVA is a social satire on today’s pressure culture — where being human is replaced by being perfect, and panic attacks are just the body’s way of saying: slow down. breathe. exist.",jeevanneelakanta,revanthma,psychological stress avant-garde panic attack no dialogue
1296122,Hayagrriva,2026-02-27,kn,[28],0.1781,0.0,,dhanveergowda sanjanaanand ashwinhassan sadhukokila sharathlohitashwa,raghukumaror,
1592805,Operation London Cafe,2026-02-06,kn,"[28, 18]",0.1319,0.0,,kaveeshshetty meghashetty shivanisurve viratmadake arjundev,sadagararaghavendra,
1644423,Suri Anna,2026-02-20,kn,"[28, 80, 53]",0.1619,0.0,"A gripping story of a man torn between circumstances and conscience, who is drawn into the dark world of crime. As his choices spiral out of control, only the unconditional love of his parents keeps him grounded.",salagasurianna uvnanjappabenaka ashwinigowda ravikale jackjolly,salagasurianna,
1612702,Sankee,2026-01-24,kn,"[80, 18]",0.0931,0.0,"A dark psychological drama about Z, a young therapist whose own inner turmoil destroys the very lives he’s meant to help and live with.",,rajat,obsession addiction nihilist
1607854,Vanya,2026-01-15,kn,[18],0.0582,0.0,An elderly man refuses to abandon his forest home. His silent resistance contrasts with a society that values statistical progress over human connection.,,badigerdevendra,
