tmdb_id,title,release_date,language,genres,popularity,vote_average,overview,cast,director,keywords
1561687,Made in Korea,2026-03-12,ta,[18],13.5169,6.652,A woman from a small town in Tamil Nadu moves to South Korea — a place she always dreamed of — but struggles to find her footing in a foreign land.,priyankaarulmohan rishikanth parkhye-jin baeksi-hun jangjae-hyeon,ra.karthik,"foreigner south korea seoul, south korea"
1602783,Thaai Kizhavi,2026-02-27,ta,"[35, 18]",5.4276,6.0,"Pavunuthaayi is a fiercely independent, intimidating elderly woman in a rural village, known for being tough, ruthless, and blunt-especially as a moneylender whose strict enforcement of dues makes her feared by locals.",radikaasarathkumar singampuli aruldoss balasaravanan munishkanth,sivakumarmurugesan,
1542352,Youth,2026-03-19,ta,"[35, 10749, 18]",4.9816,0.0,"Youth follows Praveen, a 15-year-old boy who enters adolescence determined to find true love before school ends. As he goes through multiple relationships and heartbreaks, he slowly begins to understand what love truly means. Along the way, the experiences shape his growth, maturity, and outlook on life.",kenkarunaas anishmaanilkumar surajvenjaramoodu devadarshini meenakshidinesh,kenkarunaas,
1508564,With Love,2026-02-06,ta,"[10749, 35]",3.6229,6.889,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer.",abishanjeevinth anaswararajan harishkumar kavyaanil sacchinnachiappan,madhan,friends to lovers modern love unlikely romance introvert boy extrovert girl
1298092,Lockdown,2026-01-30,ta,[53],2.7077,7.0,"During a national emergency, Anita finds herself isolated at home while facing personal challenges. As she adapts to the new reality, an unexpected situation tests her resilience and changes her perspective on life.",anupamaparameswaran charle nirosha priyavenkat livingston,arjeeva,rape post-traumatic stress disorder (ptsd) pandemic covid-19
786567,Gandhi Talks,2026-01-30,ta,[35],2.3169,6.5,"A silent black comedy, about the monetary needs of a character & how it impacts the others. A young, unemployed graduate Mahadev’s struggle to land a job through any means possible and crosses paths with a businessman and petty thief. A subject wherein silence speaks much louder than words. Although a work of fiction by the writer, all the characters in the film are sketched out to seem very real and relatable ensuring an enriching journey as well a laugh riot as the cat and mouse guffaws amongst them unfold. Gandhi Talks aims at telling a story by switching off the device of dialogue, which is not only scary but also interesting and challenging.",vijaysethupathi arvindswamy aditiraohydari divaydhamija siddharthjadhav,kishorpandurang'belekar',silent film get rich quick scheme black comedy
965483,Parasakthi,2026-01-09,ta,"[36, 18, 28, 10749]",2.9649,6.0,"In a time of civil disobedience in the erstwhile Madras state, a ruthless intelligent officer turns up with a duty to track down rebels. Chezhian and his brother Chinndurai are of different personalities, one a hardworking fireman, the other a rebel. A deadly game of cat and mouse ensues as Chezhian is forced to abandon his peaceful ways to protect his people and takes on the mighty forces, culminating in a fierce battle for justice.",ravimohan sivakarthikeyan atharvaamurali sreeleela kulappullileela,sudhakongaraprasad,based on true story linguist student protest student revolt anti-hindi imposition
1209511,Love Insurance Kompany,2026-04-10,ta,"[10749, 35, 878]",2.5707,0.0,"In a tech-chained world, a hero seeks love’s unshackled truth. Through their fight, humanity’s heart may beat free once more.",pradeepranganathan krithishetty s.j.suryah yogibabu gourigkishan,vigneshshivan,call girl romcom robot girl father son conflict
896453,Flashback,2026-04-30,ta,"[10749, 35, 28]",1.9708,0.0,,prabhudeva reginacassandra anasuyabharadwaj ramkarthik aryan,donsandy,
1367220,Karuppu,2026-05-14,ta,"[80, 28, 14, 18]",2.1094,0.0,"In a world where justice falters, a powerful guardian awakens. A superhuman rises in a rotten world to set things right in this high-octane fantasy entertainer.",suriya trishakrishnan rjbalaji swasika natarajansubramaniam,rjbalaji,lawyer hindu god
1112564,Vaa Vaathiyaar,2026-01-14,ta,"[35, 28]",1.913,4.5,"After being raised as the reincarnation of a famous actor, a man finds himself clashing with his grandfather's expectations of him.",karthi krithishetty sathyaraj rajkiran anandaraj,nalankumarasamy,black comedy
1433117,Kara,2026-04-30,ta,"[28, 18, 80, 53]",1.719,0.0,"A man shaped by violence and survival finds himself pulled back into danger he cannot escape. As hostile forces close in, past decisions begin demanding repayment. Every confrontation raises the cost of staying alive. Survival depends on resolve, instinct, and the willingness to face consequences head-on",dhanush mamithabaiju k.s.ravikumar surajvenjaramoodu karunas,vigneshraja,robin hood bank heist money heist helping people
869140,Thalaivar Thambi Thalaimaiyil,2026-01-15,ta,"[35, 18]",1.5889,6.0,"A village official attending a wedding becomes entangled in an escalating family dispute over power and old resentments, testing his leadership as he tries to contain the situation.",jiiva prathananathan ilavarasu thambiramaiah jensandiwakar,nithishsahadev,
1408162,Vishwanath & Sons,2026-07-23,ta,"[10751, 18, 10749]",1.1508,0.0,,suriya mamithabaiju radikaasarathkumar raveenatandon anilkapoor,venkyatluri,age-gap relationship
1641315,Fourth Floor,2026-02-27,ta,"[53, 27]",1.0823,0.0,"Drawn Back to Chennai by an Unexpected Call From His Former Lover, Dheeren Travels From Mumbai and Checks Into a Secluded Office Guest House. Soon After His Arrival, Disturbing and Inexplicable Events Begin to Unfold Within Its Walls. Night After Night, Dheeren is Plagued by Vivid Dreams—fragments of Memories That Eerily Mirror His Own Past and Unresolved Relationship.  As the Line Between Dreams and Reality Begins to Blur, Dheeren Realizes These Visions Are Not Random. Each Dream is a Clue, Slowly Pulling Him Toward a Buried Truth Connected to His Ex-lover’s Fate. Trapped Between Guilt, Fear, and the Supernatural, Dheeren Must Confront His Past to Uncover What Truly Happened to Her—before the Guest House Claims Him as Its Next Secret.",aariarjuna pavithraaravind deepshikhachandran subramaniamsiva adithyakathir,l.r.sundarapandi,
1628578,Yogida,2026-02-06,ta,"[53, 28]",1.5876,0.0,"It is story about a Honest and straightforward lady police Inspector Yogi works in Coimbatore, where she proves a textile mill owner’s “suicide” is actually a murder by his own son, leading to her transfer to the punishment area Vyasarpadi in North Chennai. There she confronts ruthless don Shekar Babu, who controls the area and its police through fear, power, and political influence, but Yogi refuses to bow down and begins taking action against his network.",saidhanshika kabirduhansingh sayajishinde,gouthamkrishna,
1432631,Idhayam Murali,2026-05-28,ta,"[10749, 35, 18]",1.3775,0.0,,atharvaamurali fahadhfaasil preitymukhundhan kayadulohar natarajansubramaniam,aakashbaskaran,one-sided love nostalgia
1651982,Frangipani: The Short Film,2026-03-22,ta,"[10402, 18]",1.2458,0.0,"A quiet tribute to a friend who believed Kaber Vasuki first and left too soon, remembered through music and fragments of memory.",snehaasesh kabervasuki sruthi sisu,marun,loss grief memory origami friend kaber vasuki nila frangipani
1506633,The Black Bible,2026-03-19,ta,"[27, 53]",1.0634,0.0,"Set in the fictional village of Asthinapuram, near Tamil Nadu–Kerala border, When Alisha and her mother desperate to escape the cursed land long belongs to colonial-era witchcraft and black magic, they find themselves spiraling into a deeper sinister. With only Alisha’s boyfriend standing by them, the trio must confront the horrors that dwell in silence… and the curse that refuses to be outrun.",f.j. ayraa chandhinitamilarasan monakakade sreejaravi,manikandanramalingam,
1427157,My Lord,2026-02-13,ta,"[18, 53]",0.6787,0.0,"A man and his wife battle bureaucracy after being wrongly declared dead, while he confronts a kidney trafficking ring connected to corrupt politicians that destroyed his life.",m.sasikumar chaithrajachar gurusomasundaram ashasarath jayaprakash,rajumurugan,
