tmdb_id,title,release_date,language,genres,popularity,vote_average,overview,cast,director,keywords
1634301,Vanaveera,2026-02-13,te,"[28, 18]",96.5703,7.0,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,chammakchandra simranchoudhary nanduvijaykrishna,,
1022453,The Rajasaab,2026-01-08,te,"[35, 27, 14]",7.9281,5.3,"Seeking his lost grandfather, a young man enters a haunted mansion and awakens a family curse powerful enough to upend both his life and reality.",prabhas sanjaydutt zarinawahab nidhhiagerwal malavikamohanan,maruthidasari,haunted house hypnosis musical romcom ancient curse grandfather grandson relationship supernatural horror mysterious disappearance absurd horror romance romantic fantasy ambiguous cliché self hypnosis comedy horror supernatural romance
1263037,Cheekatilo,2026-01-23,te,[53],4.1756,4.5,"When crime anchor Sandhya’s best friend is found dead under suspicious circumstances, she embarks on a dangerous investigation that collides with a dark past. As secrets unravel, Sandhya must face her trauma and rise as a fearless voice for the silenced.",sobhitadhulipala vishwadevrachakonda chaitanyavisalakshmi ishachawla jhansi,sharankoppisetty,suspenseful
868668,Ustaad Bhagat Singh,2026-03-18,te,"[28, 35, 18]",2.9427,6.2,"A tribal boy is shaped by the values of his teacher, who gives him the name 'Bhagat Singh'. He grows up deeply rooted in strong morals, which guide his actions throughout his life.He stands firm against injustice and takes on powerful evil forces, even when facing overwhelming odds.",pawankalyan sreeleela raashiikhanna r.parthiban nawabshah,harishshankar,
1057265,Peddi,2026-04-30,te,"[18, 28]",5.2394,0.0,"In 1980s rural Andhra Pradesh, A spirited villager unites his community through sports to defend their pride against a powerful rival.",ramcharan janhvikapoor shivarajkumar jagapatibabu divyendusharma,buchibabusana,sports politics
1441149,Vishnu Vinyasam,2026-02-27,te,"[10749, 35]",1.8276,4.0,A superstitious man confronts his deepest convictions when he discovers that the woman he has fallen for has a dark secret.,sreevishnu nayansarika brahmaji praveen srikanthiyengar,yadunaathmaruthirao,
1220522,Dacoit,2026-04-10,te,"[28, 10749, 53]",1.7523,0.0,"A man is convicted for a crime he didn't commit owing to a betrayal by his better half. He hunts her down seeking vengeance, as their stories intertwine with a series of robberies.",adivisesh mrunalthakur anuragkashyap prakashraj sunilvarma,shaneildeo,
1376856,The Paradise,2026-08-21,te,"[28, 53, 18]",1.5348,0.0,"In 1980s Secunderabad, a marginalized tribe battles discrimination and fights for citizenship under an unexpected leader's guidance, challenging systemic oppression.",nani kayadulohar raghavjuyal mohanbabu sonalikulkarni,srikanthodela,slum gang leader oppression tribes
1637127,Amaravathiki Aahvanam,2026-02-13,te,"[27, 53]",1.4846,0.0,"When Amaravathi calls, fear answers. This gripping narrative combines spine-tingling visuals and powerful performances into an edge-of-the-seat thriller that explores a chilling summons from the unknown.",esternoronha dhanyabalakrishna sivakantamaneni geminisuresh bhadram,gvk,
1403737,Funky,2026-02-13,te,"[35, 10749, 18]",1.5436,7.3,A debut director who falls in love with his producer's daughter,vishwaksen kayadulohar naresh easwarirao muralidhargoud,anudeep,love comedy
1257973,Fauzi,2026-10-20,te,"[10752, 36, 18, 10749, 28]",1.6105,0.0,,prabhas imanesmail mithunchakraborty jayaprada anupamkher,hanuraghavapudi,
1423251,Biker,2026-04-03,te,"[12, 18]",1.2712,0.0,An adrenaline-fueled motocross racing drama that follows competitors as they navigate dangerous competitions and face intense challenges on their bikes.,sharwanand dr.rajasekhar malavikanair shashank atulkulkarni,abhilashreddy,
1442975,Bhartha Mahasayulaku Wignyapthi,2026-01-13,te,"[10751, 18, 35]",1.0827,5.0,"What begins as a casual fling between a married man, Ram a.k.a Satya and Manasa in the middle of an international business trip, balloons into an out-of-the-blue mess when the latter lands in Hyderabad, disrupting Ram’s otherwise stable marriage with Balamani.",raviteja ashikaranganath dimplehayathi sunilvarma satya,kishoretirumala,
1407432,Anaganaga Oka Raju,2026-01-14,te,"[35, 10749]",1.7829,7.0,"A lazy, entitled brat who wants to lead an easy life is in for a rude shock that changes the course of his life.",naveenpolishetty meenakshichaudhary raoramesh tarakponnappa goparajuramana,maari,
1227241,Maa Inti Bangaram,2026-05-15,te,"[28, 53, 18]",0.9684,0.0,"Samantha plays a newly married woman who visits her in laws' house. The family appears normal and traditional, but something is off. They underestimate her, not knowing that she carries a violent past and has come with a clear mission.",samantharuthprabhu gulshandevaiah diganthmanchale gautamitadimalla anand,b.v.nandinireddy,
1646407,Charitha Kamakshi,2026-03-05,te,"[10402, 18, 10749]",1.0507,0.0,"Charitha is an innocent girl begins her married life with a passionate filmmaker. As she tries to adjust to her new love and world, she slowly discovers that although her husband is kind at heart, he is morally compromised in his profession. His choices eventually land him in police custody. With little knowledge of the outside world, she must step beyond her innocence and confront a stubborn Sub-Inspector to bring him back",divyasripada abhaybethiganti bablooprithiveeraj satishsaripalli sunithamanohar,channdusaayi,
1440735,Couple Friendly,2026-02-13,te,"[10749, 18]",1.0828,7.4,"After connecting on a rideshare app, a young couple struggling to achieve their respective dreams form a romantic connection.",santoshshoban manasavaranasi rajivkanakala sriranjini yogibabu,ashwinchandrasekar,live in relationship
1389379,Ranabaali,2026-09-11,te,"[36, 28, 18, 10752]",1.2063,0.0,,vijaydeverakonda arnoldvosloo rashmikamandanna vinodsagar,rahulsankrityan,history of india indian history
1439713,Mana ShankaraVaraPrasad Garu,2026-01-11,te,"[28, 35, 9648]",1.1076,6.1,"National security officer Vara Prasad, protecting his estranged wife and kids from a vengeful ex-cop, sees it as a chance to rebuild their relationship after six years apart.",chiranjeevi nayanthara venkatesh catherinetresa harshavardhan,anilravipudi,
1417849,Naari Naari Naduma Murari,2026-01-14,te,"[10749, 18, 35]",1.1242,6.1,"A young man's life turns upside down when he finds himself caught between two women, leading to an unexpected love triangle filled with emotions, misunderstandings, and tough decisions. As relationships intertwine, he must confront his feelings, face reality, and choose what truly matters, blending romance with heartfelt family drama.",sharwanand sakshivaidya samyuktha sreevishnu vennelakishore,ramabbaraju,
