tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
4247,Scary Movie,2000-07-07,2000,en,[35],22.256,6.388,7623,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",annafaris reginahall marlonwayans shawnwayans jonabrahams,keenenivorywayans,high school psychopath garage satire parody crude humor spoof slasher horror spoof drugs aftercreditsstinger horror parody enthusiastic
98,Gladiator,2000-05-04,2000,en,"[28, 18, 12]",18.2146,8.223,20647,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",russellcrowe joaquinphoenix connienielsen oliverreed richardharris,ridleyscott,"gladiator rome, italy arena senate roman empire parent child relationship emperor slavery ancient rome revenge battlefield slave auction historical fiction ancient world combat chariot philosopher barbarian horde 2nd century successor commodus maximus serene defiant excited gladiador"
4234,Scream 3,2000-02-04,2000,en,"[27, 9648]",11.547,6.007,3982,"As bodies begin dropping around the Hollywood set of STAB 3, the third film based on the gruesome Woodsboro killings, Sidney and other survivors are once again terrorized by another Ghostface killer.",nevecampbell courteneycox davidarquette patrickdempsey scottfoley,wescraven,mask isolation movie business ex-cop sequel serial killer reporter slasher hollywood self-referential phone call satirical annual phone call
11688,The Emperor's New Groove,2000-12-15,2000,en,"[12, 16, 35, 10751, 14]",11.2891,7.557,7218,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne and his human form with the help of Pacha, a gentle llama herder.",davidspade johngoodman earthakitt patrickwarburton wendiemalick,markdindal,central and south america kingdom birthday peru emperor villain palace berater breaking the fourth wall incan empire assassination attempt 15th century llama
77,Memento,2000-10-11,2000,en,"[9648, 53]",11.6323,8.176,16025,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",guypearce carrie-annemoss joepantoliano markboonejunior russfega,christophernolan,"drug dealer amnesia insulin tattoo waitress motel manipulation flashback confusion revenge murder memory loss memory psychological thriller whodunit los angeles, california polaroid based on short story nonlinear timeline mourning insurance agent individuality phone call disturbed paranoid neo-noir somber reverse chronology diabetes bewildered bold complicated suspense mystery"
107,Snatch,2000-09-01,2000,en,"[80, 35]",11.9698,7.817,9832,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.",jasonstatham alanford stephengraham bradpitt dennisfarina,guyritchie,robbery trailer park england gypsy gambling bare knuckle boxing slang diamond antwerp pig gangster boxer underground fighting diamond heist pikey excited
1359,American Psycho,2000-04-13,2000,en,"[53, 18, 80]",11.8479,7.407,12107,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",christianbale justintheroux joshlucas billsage chloësevigny,maryharron,new york city based on novel or book businessman psychopath dark comedy satire wall street serial killer chainsaw big city psychological thriller character study white collar harvard business school voice imitation 1980s american businessman bloody ambiguity psychological horror horror baffled horrified
8871,How the Grinch Stole Christmas,2000-11-17,2000,en,"[10751, 35, 14]",8.2609,6.782,8207,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,jimcarrey taylormomsen jeffreytambor christinebaranski billirwin,ronhoward,new love based on novel or book holiday christmas party village santa claus surrealism thief public humiliation christmas surreal world
8358,Cast Away,2000-12-22,2000,en,"[12, 18]",8.8856,7.66,12135,"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",tomhanks helenhunt chrisnoth paulsanchez lariwhite,robertzemeckis,exotic island suicide attempt volleyball survival remarriage loneliness castaway airplane crash presumed dead deserted island tropical island south pacific intense bold melodramatic enoch arden
9532,Final Destination,2000-03-17,2000,en,[27],7.8918,6.63,6566,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",devonsawa alilarter kerrsmith kristencloke danielroebuck,jameswong,airport time travel omen premonition airplane accident airplane crash corpse death macabre near-death experience desperate cheating death supernatural horror cliché deaths
