tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
16987,Kaho Naa... Pyaar Hai,2000-01-14,2000,hi,"[10749, 18, 28, 35]",2.9967,6.7,148,"Sonia and Rohit love each other but Rohit is mysteriously killed. When Sonia moves to New Zealand, she meets Raj, Rohit's lookalike who helps her trace Rohit's killer.",hrithikroshan ameeshapatel anupamkher daliptahil mohnishbehl,rakeshroshan,tragic love
11518,Mohabbatein,2000-10-27,2000,hi,"[18, 10749]",3.3434,7.1,283,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.",amitabhbachchan shahrukhkhan udaychopra jugalhansraj jimmyshergill,adityachopra,becoming an adult tradition forbidden love musical elite principal discipline school life teachers and students
35064,Dhadkan,2000-08-11,2000,hi,"[18, 10749]",2.1655,6.4,43,"Anjali and Dev are in love with each other and plan to marry, but her family gets her married to Ram. Years later, Dev shows up to reunite with Anjali, however, she has fallen in love with Ram.",akshaykumar shilpashettykundra sunielshetty mahimachaudhry sushmaseth,dharmeshdarshan,
21614,Hera Pheri,2000-03-31,2000,hi,"[35, 80]",1.9765,7.0,293,"Two tenants and a landlord, in desperate need of money, chance upon a ransom call via a cross connection. They hatch a plan to claim the ransom for themselves.",akshaykumar sunielshetty pareshrawal tabu ompuri,priyadarshan,
232696,Joru ka Ghulam,2000-06-15,2000,hi,[],1.7578,5.9,13,"Dhaneshwar Pitamber, has four daughters. All the four daughters are not ready to marry, each one having their own reason. The daughters always play mischievous tricks on the one coming with a proposal of marriage, and their gang leader is the youngest daughter Durga. Kader Khan is so desperate to get his daughters married that he is ready to give a dowry of five crores to each son-in-law. Raja and Kanahaiya are small time con men at the airport. Raju Patel is an NRI from America who comes to India to get married to one of the daughters of Dhaneshwar.",govinda twinklekhanna kaderkhan ashoksaraf ashishvidhyarthi,shakeelnoorani,
276846,Badal,2000-02-11,2000,hi,"[28, 80, 10749]",1.5591,5.9,13,"Badal is a victim of the 1984 riots, brought up by a terrorist. Badal aims to kill the treacherous police officer who had killed his parents and his loving sister. He takes shelter in the house of an honest police officer and falls in love with a minister's granddaughter. Will he be able to accomplish his revenge?",bobbydeol ranimukerji amrishpuri ashishvidhyarthi ashutoshrana,rajkanwar,mass murder terrorism
157800,Har Dil Jo Pyar Karega,2000-08-04,2000,hi,"[35, 18]",1.6347,5.5,44,"Jahnvi’s best friend Pooja attempts suicide when her boyfriend jilts her. Raj, a struggling singer, saves Pooja but she still goes into a coma and Raj gets stuck into caring for her. Upon recovery, Pooja falls for Raj, but he is in love with Jahnvi.",salmankhan ranimukerji preityzinta neerajvora shaktikapoor,rajkanwar,love triangle aspiring singer accident waking from coma
159067,Kunwara,2000-07-14,2000,hi,"[35, 10749]",1.1842,5.2,12,Raju meets Urmila in New Zealand. They have a fast romance and things are going well until Raju must make a trip back to India...,govinda urmilamatondkar nagma ompuri johnylever,daviddhawan,
97351,Phir Bhi Dil Hai Hindustani,2000-01-21,2000,hi,"[10749, 35, 80]",1.6619,6.6,88,Two rival reporters team up to help prove the innocence of a man set to be hanged for the murder of a politician.,shahrukhkhan juhichawlamehta johnylever pareshrawal shaktikapoor,azizmirza,
159666,Mela,2000-01-07,2000,hi,"[28, 12, 35, 18, 10749]",1.3639,4.5,34,"Best mates Kishen and Shankar decide to help village belle Roopa avenge her family's death, but their friendship is tested in the process.",aamirkhan twinklekhanna faisalhussainkhan tinnuverma johnylever,dharmeshdarshan,
131940,Josh,2000-06-09,2000,hi,"[10749, 18]",1.5677,6.0,73,"Two gangs fight for control of the streets: the Scorpions, led by Prakash and the Eagles, fronted by Max. When Prakash's brother Rahul comes to visit, he meets and quickly falls in love with Shirley, not realizing she's the sister of his brother's rival, Max. Though Rahul tries to keep their relationship secret, it's only a matter of time before it brings the gang rivalry to a head.",chandrachursingh aishwaryaraibachchan shahrukhkhan sharads.kapoor priyagill,mansoorkhan,street gang
161223,Dulhan Hum Le Jayenge,2000-03-20,2000,hi,"[35, 10749]",1.4287,5.6,30,"Sapna is raised by her three uncles, each one of them with a contrasting pursuit in life. She falls in love with Raja, who tries to impress each of her uncles in a different manner.",salmankhan karismakapoor ompuri pareshrawal anupamkher,daviddhawan,
46385,Hadh Kar Di Aapne,2000-04-14,2000,hi,"[10749, 35]",1.212,4.8,23,"Raj, a detective, goes on a Europe trip to investigate his friend's case. There, he falls in love with Anjali, who is impersonating her best friend.",govinda ranimukerji johnylever pareshrawal satishkaushik,manojagrawal,
46406,Mission Kashmir,2000-10-27,2000,hi,"[28, 18, 53]",1.4392,6.3,48,A police officer adopts the son and sole survivor of a family he has massacred while pursuing a terrorist. After some time the foster son finds out what the stepfather did.,sanjaydutt hrithikroshan preityzinta jackieshroff sonalikulkarni,vidhuvinodchopra,
819020,Agniputra,2000-01-01,2000,hi,[28],0.9322,10.0,1,"Arjun, a devoted son and brother, loves his mother and three sisters dearly. He sacrifices his love and happiness to safeguard his family against all odds.",mithunchakraborty asrani premchopra pinkychinoy deepshikanagpal,,
306132,Anjaane,2000-01-01,2000,hi,[18],0.7937,0.0,0,"Aditya and Shivani are a married couple who have spent the last few years living together. They share two beautiful children together and everything is going seemingly well until a new young lady introduces herself into Aditya's life. He is so head over heels in love with this new young lady that he decides to start a new life with her. Against his better judgment, Aditya leaves Shivani and his two children behind in order to pursue a new life with this lady. The two are very close until something from within their relationship causes a massive breakdown in communication.",faridajalal anupamkher beenabanerjee mohnishbehl raveenatandon,ravirai,
383281,Raju Chacha,2000-12-21,2000,hi,"[28, 35, 10751]",1.1471,5.9,22,Raju is hired to pose as uncle to three orphaned kids in order to usurp their inheritance. But he changes his mind after falling in love with their governess and decides to fight the greedy relatives.,rishikapoor ajaydevgn kajol tikutalsania smitajaykar,anildevgan,
56666,Fiza,2000-09-08,2000,hi,"[18, 10749]",1.3436,6.2,31,In 1993 Fiza's brother disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,hrithikroshan karismakapoor jayabachchan neha bikramsaluja,khalidmohammed,suicide loss of loved one jihad love racial tension
302466,Dil Hi Dil Mein,2000-04-21,2000,hi,[10749],0.8162,6.0,2,"Ram Chandra is a Tamilian who lives in a shanty hut in Bombay's Dharavi, along with his mom and a younger sister. He dream is to attend school, which he does so, after his sister is loaned out to a beggar to collect alms, but she is unable to withstand hunger for long and passes away. Ram leaves home and subsequently works hard, studies, becomes rich and constructs several colleges to accommodate needy students. One such student he accommodates is a new arrival from Allahabad, Raja, and he arranges his admission in Ram Chandra College for Business Management along with full board and shelter. He also helps Raja sort out his personal problems, including his romance with a young woman he met at the Cyber Café and then at Bandra Railway Station. While Ram Chandra is busy arranging his daughter's marriage with Rajesh Gupta, the only son of a multi-millionaire and educationist, he is quite unaware that the object of Raja's affections is none other than Roja, his very own daughter.",sonalibendre anupamkher kunalsingh johnylever nassar,kathir,
75217,Hamara Dil Aapke Paas Hai,2000-08-24,2000,hi,"[18, 10749]",0.958,5.6,15,"When Preeti testifies against Bhavani Choudhry for a murder, he rapes her. After being humiliated and thrown out by her family, Avinash, a kind man, offers her a place to stay.",anilkapoor aishwaryaraibachchan sonalibendre pururaajkumar anupamkher,satishkaushik,
407312,Shikari,2000-10-06,2000,hi,[53],1.1318,4.6,5,"Virendra (Nirmal Pandey) is a business tycoon in Cape Town, South Africa.  His sister Rajeshwari (Karishma Kapoor), wife Suman (Tabu) and his mother are his only relatives. Virendra's marital life is in apparent discord, since he has never had any relations with Suman. One day, Virendra gets a rival in business world in form of Mahendra Pratap Singh (Govinda). Mahendra is an Indian spice tycoon wanting to expand his business in South Africa.",govinda tabu karismakapoor shwetamenon nirmalpandey,n.chandra,
303406,Jung,2000-05-12,2000,hi,[28],1.0265,3.9,9,"The son of Police Inspector Veer Chauhan requires a near impossible to find bone-marrow transplant.  With time running out, Veer finds a viable candidate, a criminal he was responsible for apprehending.",sanjaydutt raveenatandon jackieshroff adityapancholi shilpashettykundra,sanjaygupta,
232496,Bichhoo,2000-07-07,2000,hi,"[28, 80, 53]",1.0712,4.5,16,A contract killer with a tragic past trains a young woman to avenge the murder of her family and falls for her in the process.,bobbydeol ranimukerji ashishvidhyarthi malaikaarora faridajalal,guddudhanoa,
41381,Pukar,2000-02-04,2000,hi,"[28, 18, 53, 10749]",1.0008,6.7,16,"Major Jaidev saves a politician from the clutches of a dreaded terrorist. However, the terrorist joins hands with his childhood friend Anjali to ruin his life.",anilkapoor madhuridixit dannydenzongpa namratashirodkar sudhirjoshi,rajkumarsantoshi,
161221,Chal Mere Bhai,2000-05-04,2000,hi,"[10749, 35]",0.7045,5.2,25,"Vicky, a businessman, loves his younger brother Prem, who spends his time chasing women. The family feels that secretary Sapna will make a good wife for Vicky, but she is already in love with Prem.",salmankhan sanjaydutt karismakapoor daliptahil shaktikapoor,daviddhawan,
166231,Refugee,2000-06-30,2000,hi,"[18, 10402, 10749]",0.6547,5.6,17,"The films tells the story of an un-named Indian Muslim, who helps illegal refugees from both India and Pakistan to cross the border through the Great Rann of Kutch. The film is attributed to have been inspired by the short story ""Love Across the Salt Desert"" by Keki N. Daruwalla.",abhishekbachchan kareenakapoorkhan jackieshroff sunielshetty anupamkher,j.p.dutta,
232711,Khauff,2000-03-02,2000,hi,"[28, 53]",0.68,4.4,5,"While returning home from the marriage of her friend, Ritu Pereira, Neha Verma, an air hostess, witnesses the brutal death of Superintendent of Police Jaidev Singh,...",sanjaydutt manishakoirala raveenatandon sharads.kapoor mukeshkhanna,sanjaygupta,
491916,Champion,2000-12-22,2000,hi,"[28, 35, 80, 18]",0.7216,2.8,6,"The film CHAMPION is a tale about a man who has a quest, a dream to be the best of the best. The film centres on four main characters, namely Rajveer Singh (Sunny Deol), a simpleton from a village in Punjab, whose sole dream in life is to become a super-cop and wipe off all crime. After, training, he gets his first posting at Mumbai for a special assignment. Bubbling with enthusiasm, an arrival, he is shocked to find that his job is to protect a nine-year-old boy, Abbas Khan (Abhishek Sharma). A bodyguard, after all the rigorous training to eliminate hardcore criminals! Abbas is the sole heir to millions of riches left to him by his parents, who have expired in a drastic plane crash.",sunnydeol manishakoirala rahuldev kashmerashah tomalter,janasuememel,
363105,Deewane,2000-08-11,2000,hi,[],0.673,4.8,6,"Policeman Vishal is shot when his boss bungles a raid on a boat. To avoid the wrath of Vishal's family, his boss hires a lookalike to stop their suspicions. But when the policeman's girlfriend Sapna falls in love with the 'new' Vishal, all sorts of trouble is caused.",ajaydevgn mahimachaudhry urmilamatondkar pareshrawal gulshangrover,harrybaweja,
985443,Fursat Mein,2000-01-14,2000,hi,[],0.5694,0.0,0,"Irrfan plays an eccentric senior citizen who goes out of his way to protect whoever he feels is being oppressed. His tactics include using fake visiting cards to intimidate people, much to the chagrin of his daughter.",irrfankhan,tigmanshudhulia,
161219,Kahin Pyaar Na Ho Jaaye,2000-11-17,2000,hi,"[10749, 10751, 35]",0.9308,5.2,24,"Prem is in love with Nisha and plans to marry her, but on the day of the marriage Nisha does not show up. When Prem asks for an explanation, Nisha tells him that she is marrying a rich and wealthy young man from the US instead, who will be able to look after her and her ailing brother, devastating Prem.",salmankhan ranimukerji jackieshroff raveenatandon poojabatra,k.muralimohanarao,
81782,Kurukshetra,2000-10-03,2000,hi,"[28, 80, 18]",0.5568,6.4,9,"Kurukshetra is a story of war between evil and truth. The D.S.P Prithvi Raj Singh(Sanjay Dutt) is an honest and brave police officer.All dishonest police officers , rogues, criminals and corrupt politicians are scared of him. The day he joins duty in Mumbai city, he destroys all the illegal business of Iqbal Pasina(Mukesh Rishi). From that day onwards, Iqbal Pasina starts admiring DSP Prithvi Raj Singh.Prithvi Raj Singh with his wife, Anjali (Mahima Chaudhary) and sister, Aarti is living a happy life. Aarti is in love with Sub-Inspector Avinash",sanjaydutt mahimachaudhry ompuri shivajisatham mukeshrishi,maheshmanjrekar,
137164,Bulandi,2000-01-07,2000,hi,[18],0.7274,5.7,7,A noble family presides over a small town in India.,anilkapoor rekha raveenatandon rajinikanth shaktikapoor,ramaraotatineni,
423976,Gaja Gamini,2000-12-01,2000,hi,"[18, 14]",0.9813,6.7,6,"A mysterious and beautiful woman, in her various incarnations, inspires artists throughout the ages.",madhuridixit tanvihegde naseeruddinshah inderkumar kalpanapandit,m.f.husain,
407311,Shikaar,2000-07-19,2000,hi,"[28, 80, 10402]",0.5949,4.0,1,"Sree Nath falls in love with a poor woman and both get intimate, resulting in her getting pregnant. When the time comes for Sree to marry her, he renounces her and instead marries the daughter of wealthy Mr. Saxena. She gives birth to a boy, Vikram, and shortly thereafter passes away. Sree's step-brothers, Badri and Kedar, move in with Sree, and soon his health starts to deteriorate. They hire a nurse to look after him, but he keeps on getting worse.",abhishekkapoor vikasbhalla ayeshajhulka anupamkher gulshangrover,bobbyraj,
97356,Astitva,2000-10-06,2000,hi,[],1.0201,5.8,7,"When Aditi finds out she has been named the sole heir to the estate of an old acquaintance, her husband is puzzled and suspicious. However, the secret she is hiding could destroy their family.",tabu sachinkhedekar ravindramankani smitajaykar mohnishbehl,maheshmanjrekar,
633558,Sultaan,2000-02-02,2000,hi,[],0.5834,10.0,1,"Kabira helps Ayesha in saving her garage from local goons. However, he hides the fact that he was an honest inspector sometime ago. Ayesha decides to find out the reason for his transformation.",mithunchakraborty dharmendra,,
211277,Dhaai Akshar Prem Ke,2000-07-29,2000,hi,"[10749, 18]",0.7298,5.9,14,"Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave.",abhishekbachchan aishwaryaraibachchan amrishpuri sonalibendre anupamkher,rajkanwar,
1465402,Choo Lenge Akash,2000-01-01,2000,hi,[10751],0.5854,0.0,0,"Sonu lives in a small village of Himachal Pradesh with her parents and grandmother. Her father works in Shimla. Intelligent & smart, she is the leader of her gang of friends, which include her neighbour Neelam, Ghanshyam the local grocers (Lalaji) son and Himanshu. Everyone in the village shows special concern towards her, though not in a manner that could embarrass or hurt her.",puruchibber pankajjha parikshatsahni,virendrasaini,
165573,Kya Kehna,2000-05-18,2000,hi,"[18, 10749]",0.6077,5.6,19,"Priya, a young college girl faces hardships and challenges after she becomes pregnant before marriage.",preityzinta saifalikhan chandrachursingh anupamkher faridajalal,kundanshah,
304139,Rahul,2001-03-23,2001,hi,[18],6.1845,3.5,2,"Mira (Neha) comes from a very wealthy family, however, she wants to get married to Akash Sharma (Jatin Grewal), who is not so wealthy. Against the wishes of her mother and brother, Mira gets married to Akash. The bad memories are left behind when Mira's family finally ""forgives"" them, at the birth of baby-boy, Rahul (Yash Pathak). With the family with such a acrimonious past, coming together, their marriage deteriorates, to such an extent that they have to involve the police and the courts for purposes of custody. The only obstacle coming between the couple from getting married again to different people are marred by Rahul, who is unable to accept his parents' divorce.",neha yashpathak rajeshwarisachdev gulshangrover parikshatsahni,prakashjha,
10757,Kabhi Khushi Kabhie Gham,2001-12-14,2001,hi,"[35, 18]",3.7985,7.7,590,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",amitabhbachchan shahrukhkhan hrithikroshan kajol jayabachchan,karanjohar,"london, england parent child relationship adoption delhi, india forbidden love reunion class differences family conflict"
39837,Yaadein,2001-07-27,2001,hi,[18],2.5327,5.4,38,"When Ronit meets Isha, both are attracted to each other and fall in love. They want to surprise Ronit's parents and Raj, and they accordingly decide to share this news with Raj, only to find out that Raj has been actively involved in trying to get Ronit married to Monishka Rai.",hrithikroshan kareenakapoorkhan jackieshroff ratiagnihotri amrishpuri,subhashghai,
19666,Lagaan: Once Upon a Time in India,2001-06-15,2001,hi,"[12, 18, 36]",2.5252,7.2,625,"The year is 1893 and India is under British occupation. In a small village, the tyrannical Captain Russell has imposed an unprecedented land tax on its citizens. Outraged, Bhuvan, a rebellious farmer, rallies the villagers to publicly oppose the tax. Russell offers a novel way to settle the dispute: he challenges Bhuvan and his men to a game of cricket, a sport completely foreign to India. If Bhuvan and his men can defeat Russell's team, the tax will be repealed.",aamirkhan gracysingh rachelshelley paulblackthorne suhasinimulay,ashutoshgowariker,countryside sports patriotism village musical challenge cricket taxes based on true story period drama colonialism british colonial arrogance untouchable caste system drought 19th century british raj gujarati teamwork 1890s
480,Monsoon Wedding,2001-08-30,2001,hi,"[35, 18, 10749]",1.6803,6.8,216,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",naseeruddinshah lilletedubey shefalishah vasundharadas parvindabas,miranair,"adultery child abuse arranged marriage delhi, india family drama wedding wedding ceremony woman director eccentric family extended family wedding rehearsal wedding arranger class system rich vs poor love story parallel stories indian wedding indian woman heartfelt daughter's wedding romantic family melodrama"
14752,Dil Chahta Hai,2001-07-24,2001,hi,"[18, 10749]",1.8108,6.8,327,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",aamirkhan akshayekhanna saifalikhan preityzinta dimplekapadia,farhanakhtar,urban life
411636,Bas Itna Sa Khwaab Hai,2001-07-06,2001,hi,[10749],1.0385,6.0,7,"Suraj dreams of following in his idol's footsteps, but as he moves to Mumbai to follow his dream, he discovers that following your dreams may have a cost.",abhishekbachchan ranimukerji sushmitasen jackieshroff gulshangrover,goldiebehl,
46418,Rehnaa Hai Terre Dil Mein,2001-10-19,2001,hi,"[18, 10749]",2.0881,6.4,41,"Maddy impersonates Rajeev, the person his love interest, Reena, is about to marry and attempts to woo her. However, he is unprepared for the moment when the truth will be revealed.",r.madhavan diamirza saifalikhan anupamkher tannazirani,gauthamvasudevmenon,
419052,Tere Liye,2001-12-14,2001,hi,"[10402, 18, 10751]",1.3893,6.0,1,"Tara, Dev Prakash Tandon, Aditya Verma, Ritu Malhotra, and Raghu, run their own band, and practice at Aditya's dad's studio. When an actress, Piya Anand, hears their number, she wants to join them, but Ritu rejects her, as she feels that Aditya may be falling for her. The group subsequently relent, let her join, and the inevitable happens when Aditya starts going out with Piya, with Raghu showing an interest in Ritu. They enter their band into a contest, compete, and qualify for the finals. Then they get devastating news when Ranjit Bose takes over the studio and threatens to demolish it. Things gets even worse when Piya finds out that Ranjit is her estranged dad, and will never permit her to take part either on the tinsel screen nor in a band.",arjunpunj hitenpaintal shilpasaklani sonalikhare anshthakkar,sanjaygadhvi,
33457,Nayak: The Real Hero,2001-09-07,2001,hi,"[18, 53, 28]",1.478,7.1,106,"Shivajirao, a TV reporter, gets a chance to be the Chief Minister of Maharashtra for a day after being challenged by incumbent Chief Minister Balraj Chauhan. After his one-day stint turns out to be a huge success, his life spirals out of control and he is embroiled in political intrigue.",anilkapoor amrishpuri ranimukerji pareshrawal johnylever,shankar,political activism politician political assassination power politics
4435,Aśoka,2001-09-13,2001,hi,"[28, 12, 18, 36, 10749, 10752]",1.718,6.5,158,"A young Prince Asoka works to perfect his skills in battle and also deals with family conflict. During a struggle with one of his step-brothers, his mother urges Asoka to escape to stay alive. While away, Asoka meets Kaurwaki and falls in love, but must use his skills as a warrior to protect her. A dangerous and heartbreaking web of conspiracy follows, which leads Asoka to embrace a Buddhist path.",shahrukhkhan kareenakapoorkhan hrishitaabhatt dannydenzongpa soorajbalaji,santoshsivan,buddhism emperor commander reue india ancient world historical drama
107548,Chori Chori Chupke Chupke,2001-03-09,2001,hi,"[18, 10749]",1.5645,6.0,77,"Raj and Priya are newly married. Priya is heavy with children, but due to unexpected circumstances, she loses her child and is unable to conceive again. Enter Madhoo, a prostitute who is willing to become surrogate mother for the couple. Their relationship becomes entangled with love triangle when Madhoo falls in love with Raj.",salmankhan preityzinta ranimukerji amrishpuri daliptahil,roshaangarrybhinder,
80156,Gadar: Ek Prem Katha,2001-06-15,2001,hi,"[28, 18, 10749, 36]",1.3471,6.8,74,"During the partition, Tara marries Sakina and they live a happy life. However their happiness is short-lived when Sakina's father forces her to stay in Pakistan and separates her from her family.",sunnydeol ameeshapatel amrishpuri lilletedubey vivekshauq,anilsharma,
1019679,Jagira,2001-02-16,2001,hi,[],1.0977,3.0,3,"Jagira, a police officer, is implicated in a false case due to Mahakaal, a dacoit. Later, he escapes from prison and decides to avenge the injustice.",dharmendra kirankumar pinkychinoy dannydenzongpa shaktikapoor,kantishah,
136615,Kasoor,2001-02-02,2001,hi,"[18, 9648, 53]",1.1884,5.2,13,"The film starts with the murder of Priti (Divya Dutta), wife of Shekhar (Aftab Shivdasani), a well-known journalist. Inspector Lokhande (Ashutosh Rana) investigates the case and accuses Shekhar of the murder, saying he has enough evidences to arrest him. Upon getting bail from the court, Shekhar's lawyer tells him that he will not be able to fight his case because he is a corporate lawyer. He asks him to contact Simran Bhargav (Lisa Ray), who is a criminal lawyer to fight his case.",aftabshivdasani lisaray divyadutta irrfankhan ashutoshrana,roshaangarrybhinder,
391552,Grahan,2001-02-16,2001,hi,[],0.8817,0.0,0,"The widowed Chief Minister Jagdish Acharya lives an opulent lifestyle along with his daughter, Sunita and son, Sanjay. One day he gets a phone call from the Police Commissioner informing him that a woman has filed a FIR of rape against Sanjay",jackieshroff manishakoirala anupamaverma,,
