tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
282565,Shaapa,2000-11-16,2000,kn,[10749],0.8027,0.0,0,Shaapa movie is a love story that gets entangled with the Cauvery water dispute  between Karnataka and Tamil Nadu. Shaapa means a curse.Ramesh plays a man haunted by his father,ramesharavind b.c.patil anuprabhakar jaijagadish,ashokpatil,
282569,Karpoorada Gombe,2000-11-16,2000,kn,[18],0.6655,0.0,0,"Karpoorada Gombe is a 2000 Kannada film directed by S Mahender and produced by Chandrashekhar. The film stars Ramesh Aravind, Shruti, Lokesh and Doddanna in lead roles. Music was composed by Hamsalekha.",ramesharavind shruti doddanna masteranand rekhadas,smahender,
282567,Shriasthu Shubhamasthu,2000-08-10,2000,kn,[10749],0.567,0.0,0,"Shriasthu Shubhamasthu is a 2000 Kannada film directed by Seetaram Karanth and produced by Prakash Babu NK. The film stars Ramesh Aravind, Anu Prabhakar, Srinivasa Murthy and Naveen Krishna in lead roles. Music was composed by K Kalyan.",ramesharavind anuprabhakar srinivasamurthy naveenkrishna chitrashenoy,seetaramkaranth,
1503611,Devara Maga,2000-06-15,2000,kn,"[10751, 18, 28]",0.4557,0.0,0,"On learning that he is an orphan, Bharath leaves his home heartbroken. Though he is brought back home by his foster father, Rajegowda, some people in the family resent it.",shivarajkumar ambareesh bhanupriya laila srinath,d.rajendrababu,
282566,Nan Hendthi Chennagiddale,2000-11-30,2000,kn,[18],0.3393,0.0,0,"Nan Hendthi Chennagiddale is a 2000 Kannada film directed by Dinesh Baboo. The film stars Vishnuvardhan, Ramesh Aravind, Ananth Nag and Umashri in lead roles. Music was composed by Rajesh Ramanathan.",vishnuvardhan ramesharavind umashree rameshbhat anantnag,dineshbaboo,
235423,Shabdavedhi,2000-01-02,2000,kn,"[80, 18]",0.5193,7.3,5,"Shabdavedi is about Sandeep Rajkumar, a strict police officer crusading against narcotics. The man is so straight that when his wife Jaya Prada refuses to reveal the identity of a key link in the drug ring that he is investigating. He beats her in lockup. Eventually he overcomes all the usual attempts to throw him off the chase like tarnishing his reputation and implicating him in lock-up death cases and tracks the ring down to its last man.",dr.rajkumar jayaprada k.s.ashwath mukhyamantrichandru umashree,s.narayan,crusader police narcotics
1506169,Soorappa,2000-03-27,2000,kn,"[18, 28]",0.4281,0.0,0,"When a woman from a neighbouring village falsely accuses the village head of harassing her, tension spreads between the two villages, which ultimately leads to a riot making the situation worse.",vishnuvardhan shruti charanraj rameshbhat bankjanardhan,b.naganna,
1519395,Chamundi,2000-05-04,2000,kn,"[28, 18]",0.4694,0.0,0,"When Chamundi kills a criminal to put an end to his atrocities, the court acquits her due to lack of evidence. Notwithstanding, her sister, a lawyer, is determined to put her behind bars.",malashri khushboo prakashraj anantnag sureshheblikar,a.mohangandhi,
334058,Preethse,2000-01-01,2000,kn,[],0.3175,0.0,0,"Preethse is a 2000 psychological thriller Kannada film starring Upendra, Shivrajkumar and Sonali Bendre.",upendra sonalibendre shivarajkumar,d.rajendrababu,
1514690,Deepavali,2000-05-08,2000,kn,"[35, 18]",0.2229,0.0,0,"The sudden death of a rich woman's son paves way for her relatives to exploit her. However, when a young man enters her life, she finds a ray of hope as he vows to protect her.",vishnuvardhan ramesharavind bhavanaramanna chandini rameshbhat,dineshbaboo,
282568,Maduve,2000-07-10,2000,kn,[10749],0.2176,0.0,0,Maduve (2000) is a 2000 Kannada film directed by Umakanth V and produced by Ramalingeswara Rao. The film stars Ramesh Aravind and Charulatha in lead roles. Music was composed by S A Rajkumar.,ramesharavind charulatha kumargovind,umakanthv,
1338442,Nagadevathe,2000-01-28,2000,kn,[],0.234,0.0,0,"Naganna, a devotee of the Snake goddess, vows celibacy in her honour only to be seduced by a dancer. Soon, he is found dead because of a snake bite which leads to his brother's hatred for the goddess.",prema soundarya,omsaiprakash,
408593,Munnudi,2000-10-27,2000,kn,[18],0.1987,0.0,0,"A film based around the life of a Muslim woman, Rukhia Begum, set in the coastal regions of Dakshina Kannada. She gets married to an Arab businessman who later deserts her. The story essays Rukhia Begum's struggles to protect her daughter.",tara h.g.dattatreya shashikumar chayasingh,pattabhiramaiahsheshadri,
256041,Sparsha,2000-06-09,2000,kn,"[10749, 18, 53, 35]",0.2532,5.7,5,"Sudeep accidentally knocks down Radha on the railway tracks and she loses a leg. Guilt-ridden, he offers to marry her without letting her know that he was behind the accident.",sudeepa sparsharekha sudharani naveenmayur sihikahichandru,sunilkumardesai,
1513679,O Nanna Nalle,2000-11-09,2000,kn,"[10749, 18]",0.2572,0.0,0,"A young woman loses her eyesight and has to struggle to get accustomed to her surroundings. In a twist of events, she receives help from a musician that she disliked in the past.",v.ravichandran ishakoppikar srinivasamurthy sadhukokila kishoriballal,v.ravichandran,
715567,Yajamana,2000-12-01,2000,kn,"[18, 10751]",0.1904,5.0,1,"Shankar sacrifices his own interests and refuses to marry in order to support and educate his younger brothers. However, his life changes when a girl falls in love with him.",vishnuvardhan shashikumar prema rameshbhat pavitralokesh,radhabharathi,
991350,Durgada Huli,2000-02-24,2000,kn,[18],0.1686,0.0,0,An archaeologist races against time to find a buried treasure after someone kidnaps his family and holds them hostage to make a trade.,saikumar vinita shobaraj hemachaudhary b.v.radha,ayyappap.sharma,
1507388,Galate Aliyandru,2000-09-20,2000,kn,"[35, 10749]",0.1824,0.0,0,"A young man runs away from his house when his father asks him to get married to his friend's daughter. Later, unknowingly, he comes across the same girl and falls in love with her.",shivarajkumar sakshishivananda s.narayan mukhyamantrichandru doddanna,s.narayan,
1168021,Preethsu Thappenilla,2000-05-12,2000,kn,[18],0.1238,0.0,0,"A happy-go-lucky man falls head over heels in love with a girl at first sight. By a twist of fate, they become victims of a tragic incident, which takes their relationship to the next level.",v.ravichandran rachanabanerjee chitrashenoy sadhukokila k.s.ashwath,v.s.reddy,
761639,Husharagiri,2000-01-01,2000,kn,[],0.0769,0.0,0,An adult themed Kannada movie,rekhadas badariprasad vasanthkumark sabhapathi drsugunarthi,chvenkataganesh,
1548935,Yaarige Salutthe Sambala,2000-05-22,2000,kn,[],0.0071,0.0,0,"Three unemployed men challenge their wives to get into high-salaried jobs. However, they seek help from their wives when they get involved in illegal activities in order to make money.",,,
1659242,Nannavalu Nannavalu,2000-10-19,2000,kn,"[10749, 35, 18]",0.0,0.0,0,"Chandu can inherit her ancestor's wealth only if she gets married. She wants the wealth all for herself and marries Gopi, as she is told that he will not live long due to a hole in his heart.",,,
256161,Huccha,2001-07-06,2001,kn,"[28, 10749, 18, 35]",0.578,5.9,5,"Sachidananda, a popular student, wins the collegiate elections through influence and violence. Simultaneously, he makes some enemies and ends up falling in love with a conservative girl.",sudeepa rekhavedavyas avinash shivaram pavitralokesh,omprakashrao,
66519,Sri Manjunatha,2001-06-22,2001,kn,"[10751, 18, 36, 10402]",0.9861,6.3,3,"Manjunatha, an atheist, fights against social evils. He marries Kathyayini, a staunch devotee of Lord Shiva. As the days go by, Manjunatha realizes the existence of God.",arjunsarja soundarya chiranjeevi meena ambareesh,kraghavendrarao,atheist god king
1180988,Neelambari,2001-10-09,2001,kn,"[14, 27]",0.2678,0.0,0,"Vinod, a reporter, and his crew arrive in Neela Betta to film a supernatural occurrence. However, things take a turn when after interviewing Akhila, a villager, the entire crew goes missing.",ramyakrishnan devaraj sumantalwar prema charulatha,surya,
761694,Usire,2001-04-06,2001,kn,[],0.3141,0.0,0,"The story revolves around Mutthu (Ravichandran) who works for the Zamindar Rudre Gowda (Prakash Raj). He falls in love with Gowda's daughter Chandri (Rachana). Chandri also feels the same way, however, their differing castes become a barrier and they hesitate to start a relationship. Will they get married towards the end is the crux of the story.",v.ravichandran rachanabanerjee prakashraj sadhukokila doddanna,prabhusolomon,
1081568,Amma Nagamma,2001-09-18,2001,kn,[18],0.2183,0.0,0,,charanraj damini ragasudha shobaraj gurudathmusuri,chbalajisingh,
1181371,Nanna Preethiya Hudugi,2001-04-06,2001,kn,[],0.3523,0.0,0,"Nanna Preethiya Hudugi (transl. The Girl I Love) is a 2001 Indian Kannada-language romance film directed and written by Nagathihalli Chandrashekar. It stars newcomers Dhyan and Deepali in lead roles and actors such as Lokesh, Bhavya and Suresh Heblikar in other prominent roles.  The story is based on Chandrashekar's own decade-old short story ""Malenada Hudugi, Bayaluseeme Huduga"".",sammirdattani deepali lokesh,nagathihallichandrashekar,
1090076,Diggajaru,2001-01-26,2001,kn,[18],0.1993,0.0,0,"A rich landlord and his servant bond well irrespective of their status. When the landlord wife is murdered, the servant decides to take the blame on himself to save landlord family prestige.",vishnuvardhan umashree ambareesh doddanna lakshmi,rajeshbabu,
435000,Kotigobba,2001-11-16,2001,kn,"[10749, 18, 80, 28]",0.2715,9.0,1,"A humble auto driver leads a happy and content life with his ambitious siblings. However, his siblings are unaware of their brother's past.",vishnuvardhan priyankaupendra avinash devaraj rameshbhat,b.naganna,
1438809,Vaalee,2001-10-19,2001,kn,"[18, 53]",0.3352,0.0,0,Deva secretly loves his twin brother's wife Priya. He tries everything to separate the two and goes to the extent of killing his twin brother.,sudeepa sadhukokila bankjanardhan vaijayanthi,smahender,
1321382,The Dusk,2001-07-25,2001,kn,[],0.1258,0.0,0,The story revolves around the struggles faced by old people to cope with the changing times and values.,h.g.dattatreya pavitralokesh bhargavinarayan srinivasaprabhu masterhirannayya,prramadasnaidu,
1518194,Mathadana,2001-01-12,2001,kn,[],0.3198,0.0,0,Ram Linge Gowda and Markhande Gowda are at odds with each other as the former refuses the latter to help win the upcoming elections. Film reveals the caste based politics and other dynamics that grip the democratic institution of ballot box in India,anantnag devaraj avinash prakashbelawadi sudhabelawadi,t.n.seetharam,
282561,Kurigalu Saar Kurigalu,2001-03-22,2001,kn,"[35, 18]",0.2172,0.0,0,"Three ex-convicts Rummi, Nani, Moni along with a police officer save a couple from committing suicide and help to put an evil man and his son behind bars.",ramesharavind s.narayan mohanshankar umashree ruchitaprasad,svrajendrasinghbabu,
282562,Kotigalu Saar Kotigalu,2001-12-27,2001,kn,[35],0.2939,0.0,0,"Kotigalu Saar Kotigalu is a 2001 Kannada film directed by S. V Rajendra Singh Babu and produced by Jai Jagadish. The film stars Ramesh Aravind, S. Narayan, Mohan Shankar and Prema in lead roles. Music was composed by Hamsalekha.",ramesharavind s.narayan mohanshankar prema tara,,
1512170,Jodi,2001-12-07,2001,kn,"[10749, 18]",0.1182,0.0,0,"When Vinod gets a random call from Shalini, he falls in love with her. The situation, however, turns interesting when Sunil, Shivu's best friend, too falls in love with Shalini.",shivarajkumar jaggesh vaijayanthi mukhyamantrichandru doddanna,kishoresarja,
1008144,Banallu Neene Buviyallu Neene,2001-10-29,2001,kn,"[10749, 18]",0.2691,0.0,0,"Gopala Krishna is forced into rehabilitating Lalitha, an amnesiac. He pretends to be her husband in order to help her recover but problems arise when her real husband shows up.",divyaaunni s.narayan shashikumar rekhavedavyas shobaraj,s.narayan,
1242232,Vande Matharam,2001-01-05,2001,kn,"[28, 18]",0.0977,0.0,0,"Gayathri, a police officer, is entrusted with the responsibility of eliminating terrorists. When her younger brother is lured into terrorism, she has to overcome personal loss and save the country.",vijayashanti ambareesh girishkarnad ashishvidhyarthi kazankhan,omprakashrao,
282560,Amma Ninna Tolinalli,2001-09-14,2001,kn,[18],0.1383,0.0,0, Amma Ninna Tolinalli movie tells about the relation between mother and child.,ramesharavind shruti,b.naganna,
282564,Hoo Anthiya Uhoo Anthiya,2001-04-06,2001,kn,[18],0.1498,0.0,0,Hoo Anthiya Uhoo Anthiya is a 2000 Kannada film directed by Praveenkumar K and produced by Usha Sandeep and Kumar B. The film stars Ramesh Aravind and Anu Prabhakar in lead roles. Music was composed by Karthik Raja.,ramesharavind anuprabhakar ishakoppikar,praveenkumark,
282563,Premi No. 1,2001-05-04,2001,kn,[10749],0.1845,0.0,0,Premi No. 1 is a 2001 Kannada film directed by Kodlu Ramakrishna. The film stars Ramesh Aravind and Prema in lead roles. Music was composed by Gurukiran.,ramesharavind prema,kodluramakrishna,
1503633,Ellara Mane Dosenu,2001-03-30,2001,kn,"[10751, 18]",0.1057,0.0,0,"Three sisters, Ramani, Mandara and Vasanta, are forced to marry against their will. Their tryst with the evils of a male-dominated society begins shortly after their marriage.",ramkumar shruti bhavanaramanna kashi umashree,h.s.prakash,
1510318,Kanasugara,2001-08-03,2001,kn,"[10402, 10749, 18]",0.2026,0.0,0,"An illegitimate girl lives with her father and his family. However, the situation gets twisted when she develops feelings for her father's brother-in-law.",v.ravichandran prema mandyaramesh srinath doddanna,karan,
1659245,Anjali Geethanjali,2001-04-20,2001,kn,"[10749, 18]",0.0,0.0,0,"Wildlife photographer Sagar visits a village, where the head's daughter Anju falls for him, but he loves her widowed sister Geeta, whose family opposes their marriage.",,,
