tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
69426,Kandukondain Kandukondain,2000-05-05,2000,ta,"[18, 10749]",2.0534,7.0,36,Two young women with differing views on love find themselves with three suitors in this modern take on Jane Austen's 'Sense and Sensibility' set in Tamil Nadu.,tabu aishwaryaraibachchan ajithkumar mammootty abbas,rajivmenon,based on novel or book
78962,Vallarasu,2000-04-14,2000,ta,"[28, 18]",1.2765,5.7,3,"Vallarasu is the honest Deputy Commissioner of Police who has arrested Wasim Khan, a terrorist from Pakistan. His wife is Anjali, and they both have two children. Vallarasu kills his senior police officer and father-in-law because he knows the latter is working alongside terrorists.",vijayakanth devayani raghuvaran livingston karan,n.maharajan,
49035,Alaipayuthey,2000-04-14,2000,ta,"[10749, 18]",1.5624,7.4,46,"Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be.",r.madhavan shalini swarnamalya vivek jayasudha,maniratnam,coma musical hit-and-run told in flashback social differences family disapproval
338843,Bharathi,2000-09-01,2000,ta,[18],0.881,0.0,0,"A biographical account of the life of the Indian freedom fighter, Mahakavi Subramaniya Bharathiar, who defied conventional norms to bring equality in society.",sayajishinde devayani nizhalgalravi rameshkumar t.p.gajendran,gnanarajasekaran,
469349,Ennamma Kannu,2000-06-16,2000,ta,[],0.9343,0.0,0,"Ennamma Kannu is a 2000 Indian Tamil drama film, directed by Sakthi Chidambaram, starring Sathyaraj, Devayani and Ranjith in lead roles. The film had musical score by Deva and was released in 2000.",sathyaraj devayani vadivelu ranjith kovaisarala,sakthichidambaram,
60579,Hey Ram,2000-02-18,2000,ta,"[36, 18, 80]",1.3226,7.0,59,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.,kamalhaasan shahrukhkhan vasundharadas ranimukerji atulkulkarni,kamalhaasan,assassination muslim hindu mahatma gandhi based on true story riot race riot revenge religion
422044,Snegithiye,2000-11-24,2000,ta,"[9648, 53]",1.1365,7.0,3,"Vasu and Radhika try to avoid Radhika's arranged marriage by saying that she loves Ramesh, a fictional man. However, they get into trouble when a man named Ramesh really walks into their life.",jyothika tabu sharbanimukherji lakshmi ishitaarun,priyadarshan,
443716,Koodi Vazhnthal Kodi Nanmai,2000-07-15,2000,ta,"[35, 18, 10751]",0.5678,5.2,2,Koodi Vazhnthal Kodi Nanmai is the story of three brother and their families who live together.,nassar khushboo karan rojaselvamani vadivelu,v.sekhar,
270040,Manu Neethi,2000-12-23,2000,ta,[],0.7703,2.0,1,"Muthazhagu, a true patriot, had fought against the British, had gone to jail, and is a man much honoured and respected by the villagers. So when he commits an indiscrete act the whole village is shocked. But they forgive him, for it was an act committed under the influence of liquor.  The only disgruntled element in this scenario is the village girl's uncle Vellaiyan (Nasser) who would have married her but for this misfortune.  The man vows revenge and gets his chance twenty years later . The nephew (Murali) ignorant of his uncle's motives finds out the truth later. His admiration for Muthazhagu, love for the girl, and attachment to his uncle makes him attempt to bring about a re-conciliation between the two warring factions, which were threatening to turn into a fight between the two villages.",napoleon nassar murali vadivelu prathyusha,,
78470,Kannan Varuvaan,2000-05-25,2000,ta,"[18, 35, 10751]",0.6554,0.0,0,"Kannan's (Karthik) ambition in life is to take up the construction of the temple left incomplete by his forefathers. Funds are not forthcoming. Goundamani assures him that with his employer's help Kannan's dream could become a reality. But Goundamani is disappointed when his employer, the wealthy landlady's (Manorama) grandson Raghu (Ranjith) turns out to be money minded and heartless. In a fit of anger, Goundamani pushes him into the waters of a river and thinks he has committed a murder. Predictably Kannan is made to enter the scene as an impostor. What follows next forms the crux of the story.",raasi goundamani senthil karthikmuthuraman manorama,sundarc,
69577,Thenali,2000-10-26,2000,ta,"[35, 18]",0.8671,7.0,22,"Thenali suffers from panophobia and seeks doctor Kailash's help but the latter denies his request. Later, when Kailash goes on a vacation with his family, Thenali joins them and charms his sister.",kamalhaasan jayaram devayani jyothika delhiganesh,k.s.ravikumar,
69446,Rhythm,2000-09-15,2000,ta,"[10749, 18]",0.9328,7.5,12,"Karthikeyan, a photo editor in Mumbai, is a widower whose parents wish to see him settled and happy. Chitra, a widow with a son, gives them hope, unaware that their pasts are intertwined.",arjunsarja meena lakshmi jyothika nagesh,vasanth,
69424,Unnai Kodu Ennai Tharuven,2000-05-25,2000,ta,"[80, 10749]",0.7579,5.0,2,"Surya (Ajith) has been brought up in the army barracks in Ooty, ever since his mother(Sukanya) handed him over as a baby to a brigadier (Nasser). She tells the officer the reason for her action but the audience is not allowed to hear it at this point. Surya grows up to be a patriotic youth and the best soldier in his class. He falls in love with Indu (Simran), the daughter of an army officer. Indu's parents accept her choice of husband but soon after, her father dies in a bomb blast while her mother loses her life on seeing her husband's body. Not wishing to lose her husband too in war, Indu asks Surya to choose between her and the army.",ajithkumar simran nassar manivannan charle,kaveekalidas,
69654,Kushi,2000-05-19,2000,ta,"[18, 10749]",0.8988,6.9,29,"College friends Jenny and Shiva part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting.",vijay jyothika vivek nagendraprasad nizhalgalravi,s.j.suryah,egomaniac college love
1121874,Krodham 2,2000-09-01,2000,ta,[28],0.5607,0.0,0,"Krodham 2 is a 2000 Indian Tamil language thriller film, produced, written and directed by Prem Menon. The film stars Prem Menon himself, alongside Radhika Chaudhari and Khushbu, while Nassar and Mansoor Ali Khan portray supporting roles.",premmenon radhikachaudhari khushboo rajeev mansooralikhan,premmenon,police revenge
78621,Maayi,2000-08-21,2000,ta,[18],0.9312,5.0,1,"Maayi is the well-respected, do-gooder in the village. He sees women in the village as his sisters and even conducts their marriages. He is a man who is ready to kill his father when he learns that he had a second wife. But the father opts to kill himself rather than face his son and so, Maayi brings his stepsister Lakshmi (Suvalakshmi) to live with him.When the local MLA(Rajan. P. Dev) comes to him for support, he refuses and the MLA loses the election. But his son(Anand), who admires Maayi, marries Lakshmi. Meanwhile Bhuvaneswari (Meena),...",r.sarathkumar meena vadivelu vijayakumar suvalakshmi,suryaprakash,
264806,Vetri Kodi Kattu,2000-06-30,2000,ta,"[18, 10751]",0.8508,6.6,4,"Vetri Kodi Kattu is a Tamil film directed by Cheran starring Murali, Parthiban, Meena, Manorama and Malavika. It is about 2 men who find the way to prosperity with their effort in their own country after being cheated by a man who promised them a lucrative job in Dubai.",murali r.parthiban meena malavika manorama,cheran,immigration law immigrant life
373320,Budget Padmanabhan,2000-09-08,2000,ta,"[10751, 35]",0.7689,5.6,4,"Padmanabhan has earned the nickname Budget as he is a miser. However, he struggles to save his father's house from money lenders as his wife is a spendthrift and never lets him save enough.",prabhu ramyakrishnan vivek mumtaj manivannan,t.p.gajendran,
925765,Unnai Kann Theduthey,2000-09-01,2000,ta,[18],0.89,0.0,0,The police find a dead body in a river holding on to a 'thaali' and a wedding invitation. They begin an investigation that takes them to a house where wedding preparations are in full swing.,sathyaraj khushboo livingston ravali manivannan,sundarc,
339799,Good Luck,2000-02-04,2000,ta,[],0.5713,7.0,1,"Surya (Prashanth) is a carefree youth living in Malaysia with his brother Chandramohan (Raghuvaran) and sister-in-law Devi (Sukanya). Chandramohan and Devi are childless because of a problem with Chandramohan. Surya falls in love with dancer Priya (Riya Sen) and manages to steal her heart too. Just when things seem happy, a bombshell is dropped by a Sister Mary who tells Surya that he is the father of a small girl Pooja. Pooja must undergo an operation to save her life but insists on seeing her dad before agreeing to the operation. Surya agrees to pose as her dad and is forced to do so on a more permanent basis even after the operation is done.",prashanth riyasen raghuvaran sukanya vivek,manojbhatnaghar,
339823,Parthen Rasithen,2000-08-11,2000,ta,[],0.4301,7.0,1,"Shankar(Prashanth) is a graduate of BSC nautical science, waiting for a job in the shipping industry. He is a tenant in the house of Banu(Simran), who is his good friend and confidante. They spend almost all their time together and she seeks him out as a refuge from her step brother Panneer(Raghuvaran), whom she dislikes but is forced to live together with. Shankar falls in love with Sarika(Laila). She reciprocates but problems and misunderstandings plague their romance.",simran prashanth laila raghuvaran raghavalawrence,saran,
1176272,Veeranadai,2000-04-21,2000,ta,"[18, 10751, 28]",0.6353,0.0,0,"After the death of his sister, Periyakaruppu vows not to marry and raise his niece, Poomayil. When Poomayil grows up, she finds out about her uncle's sacrifices for her and decides to marry him.",sathyaraj khushboo umashankari c.arunpandian goundamani,seeman,
78471,Sandhitha Velai,2000-04-14,2000,ta,[18],0.6328,0.0,0,"On a trip, Aadalarasu meets his lookalike and promises to fulfil the latter's request. His look-alike dies and he takes his place in his family while his own family thinks he is dead.",karthikmuthuraman rojaselvamani kausalya vijayakumar sujatha,ravichandran,
280963,Eazhaiyin Sirippil,2000-02-03,2000,ta,[],0.5534,7.0,1,"Eazhaiyin Sirippil is a 2000 Tamil film directed by SUBHASH. The film stars Prabhu Deva, Kausalya, Roja and Suvalakshmi in lead roles.",prabhudeva kausalya rojaselvamani suvalakshmi vivek,k.subash,
69404,Mugavari,2000-02-02,2000,ta,"[18, 10749, 10751]",0.6318,6.6,10,"Sridhar, an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success.",ajithkumar jyothika k.viswanath raghuvaran sithara,v.z.durai,
66521,Vaanavil,2000-10-27,2000,ta,[18],0.5008,5.5,1,,arjunsarja prakashraj abhirami manivannan lakshmi,manojkumar,
281823,Kakkai Siraginilae,2000-03-09,2000,ta,[18],0.3792,0.0,0,,r.parthiban preethavijayakumar manasa k.viswanath lakshmi,p.vasu,
331659,Ennavale,2000-12-22,2000,ta,[18],0.4969,0.0,0,"When a man and his friends start a music troupe that performs at weddings, he is highly motivated by his landlord's daughter.",r.madhavan sneha manivannan charle vaiyapuri,j.suresh,musical troupe
356059,Sudhandhiram,2000-02-25,2000,ta,"[28, 80, 18]",0.519,5.0,1,"The film features Arjun and Rambha in lead roles whilst Raghuvaran, Raadhika and Sharat Saxena play supporting roles.",arjunsarja rambha raghuvaran sharatsaxena radikaasarathkumar,rajkapoor,
277879,Appu,2000-03-31,2000,ta,"[53, 28, 18]",0.5638,6.5,2,Appu is a taxi driver in Mumbai (Bombay). He is still haunted by the suicide of his sister who was sold to a brothel. He is still trying to find out the culprit. Here he meets Sita who is chased by Eunuch Maharani who is also responsible for the death of his sister. Maharani is the madame or kingpin of the flesh trade in Mumbai. Maharani wants the beautiful Sita for the flesh trade. Appu fights and saves Sita from Maharani. Here his friend Vignesh and his lover Kaveri die saving Appu and Sita.,prashanth devayani prakashraj vignesh dhamu,vasanth,
502276,Sabhash,2000-09-01,2000,ta,"[53, 80]",0.3406,6.0,2,"The movie opens with Cheenu, who is blind, and his good friend Dharan finding out that Cheenu's wife Shanti has died by hanging herself from the ceiling of their house. The police close the case as a suicide but mysterious happenings force Cheenu to suspect that his wife may have been the victim of foul play. Evidence surfaces which points to Dharan's guilt. But he resolutely maintains that he is innocent while Cheenu too believes his friend.",r.parthiban divyaaunni ranjith delhiganesh thalaivasalvijay,k.subash,wife murder blind man
280965,Doubles,2000-08-11,2000,ta,[],0.4025,0.0,0,"Doubles is a 2000 Tamil film directed by Pandiarajan. The film stars Prabhu Deva, Pandiarajan, Meena and Sangeetha in lead roles.",prabhudeva pandiarajan sangeethakrish vivek manivannan,pandiarajan,
264173,Thirunelveli,2000-01-15,2000,ta,[18],0.6464,0.0,0,"Thulasi, A Highly Respected Man In A Village, Is Known For His Truthfulness In All Circumstances. But The Real Testing Time Arrives When His Good Trait Brings A Lot Of Troubles To The Family.",prabhu karan rojaselvamani sithara vindhya,bharathikannan,
476903,Palayathu Amman,2000-10-28,2000,ta,"[18, 14]",0.5389,7.0,1,A newly married couple give birth to a baby who is the reincarnation of goddess Devi; the goddess takes human form to battle evil.,meena ramki divyaaunni charanraj vivek,ramanarayanan,devotional
78961,Vaanathaippola,2000-01-13,2000,ta,[18],0.6887,6.5,5,"ellaichaamy (Vijayakanth) thinks the world of his three brothers, even giving up marriage when he learns that the woman he loves plans to send them to a hostel after the wedding. The brothers live with their grandmother (S. N. Lakshmi). He works hard to raise them and they too reciprocate his love and affection. The eldest of the three, Muthu (Vijayakanth again), is a cook in a small hotel, When Vellachamy learns that Muthu is in love with his childhood playmate (Meena) he goes to the city to his friend (Rajiv) with the marriage proposal. Only to be insulted! Circumstances bring Muthu to the city, to the girl's palatial bungalow where he works as a cook. The girl is arrogant and rude till she realises that Muthu is her childhood pal. And now it is she who does all the wooing and persuades her father to get her married to Muthu.",vijayakanth prabhudeva livingston meena kausalya,vikraman,
69656,Kannukkul Nilavu,2000-01-14,2000,ta,[10749],0.2819,6.2,4,"Gautham meets Dr Rajasekhar, a psychologist, to learn about his memories pertaining to a girl named Gayathri. Rajasekhar learns that he is looking for Shanmugam, who he thinks has killed Gayathri.",vijay shalini kaveri raghuvaran srividya,fazil,
69659,Priyamaanavale,2000-10-26,2000,ta,[18],0.4313,6.6,10,"A modern man, Vijay, marries his father's sincere secretary who hails from a poor family. But their stringent prenuptial agreement grants him the power to end his marriage after 12 months.",vijay simran vivek delhiganesh radhikachaudhari,k.selvabharathy,
550364,Rajakali Amman,2000-04-14,2000,ta,"[18, 14]",0.4277,0.0,0,"A simple minded women named Meena her brother Gopal and their pet snake, lives will soon be changed when they look out for the village goddess who is forced out of her temple in a nearby village. They all flourish because of the blessings of the maa but these days are over when Meena weds an evil man named Seemadorai, who is not who he really says he is, and without the goddesses blessings.",ramyakrishnan karan kausalya nizhalgalravi y.vijaya,,
78620,Pennin Manathai Thottu,2000-08-01,2000,ta,"[10749, 18, 28]",0.4335,0.0,0,"Pennin Manadhai Thottu, the romance is quite uninteresting and barely manages to hold out interest. Sunil(Prabhu Deva) is one of the leading heart surgeons in the country. He lives with Ganpat(Mouli) and is loved by everyone in the family. Sunitha(Jeya Seel) arrives at the house, alongwith a kid who has a heart problem. But she lashes out at Sunil when she learns that he is the doctor and meets him face to face. Turns out she has had a bitter past with him. They had been in love in college but he had deserted her at a crucial time. So she hates him for it and doesn't even want him to...",prabhudeva jayasealghosh r.sarathkumar vivek mouli,ezhil,
264069,Uyirile Kalanthathu,2000-09-23,2000,ta,"[10749, 28]",0.3565,4.4,6,"A man, who is the youngest in the family and much pampered, is detested by his elder brother. He falls for a girl and decides to meet her family, but out of animosity, his brother damages his image in front of them.",suriya jyothika raghuvaran radikaasarathkumar sivakumar,jayakr,
339826,Star,2001-07-17,2001,ta,[],1.3484,5.0,3,"Murthy (Prashanth) earns his living taking the blame for the mistakes of other people and the jail is his second home. Dhanushkodi (Raghuvaran) has sworn to kill ex-collector Ramanathan's (Vijayakumar) son and so, Ramanathan has transferred his son Santosh (Pravinkanth) to Mauritius while telling the world that he has ran away. Wishing to save his son, he hires Murthy to act as his long lost son, hoping that Dhanushkodi would kill him instead of his actual son. Murthy too accepts the gig since his lover Preeti (Jyotika) is Ramanathan's niece. In the climax, Santhosh supports Dhanushkodi for killing his father, But Dhanushkodi kills Santhosh. The film ends with Murthy taking the blame for killing Santhosh and surrenders himself to police.",prashanth jyothika raghuvaran vijayakumar praveengandhi,praveengandhi,
47938,Minnale,2001-02-18,2001,ta,"[35, 10749]",1.242,7.0,29,"Rajesh Shivakumar is a college hoodlum who has his first crush on Reena Joseph, who unfortunately, is engaged to be married to Rajiv Samuel, an Indian engineer settled abroad. In an effort to gain her heart, Maddy impersonates Rajiv and gets close to Reena, aided by his grandfather Subbuni and his crooked sidekick Chockalingam. However, the real Rajiv shows up, bringing a shocking end to Reena's romantic interlude.",r.madhavan abbas reemasen vivek nagesh,gauthamvasudevmenon,
876076,Looty,2001-01-14,2001,ta,[35],0.7549,0.0,0,"A childless couple adopts a child, but the wife becomes convinced her husband sired the child with another woman. The son decides to seek out his birth mother to find out the truth.",sathyaraj vadivelu rojaselvamani,sakthiparamesh,
305860,Sri Raja Rajeswari,2001-04-13,2001,ta,"[28, 18, 14]",0.8086,0.0,0,"Rasaiya and Rajeswari are tribal newly weds, out for a midnight stroll in the forest. Three drunk businessmen('Nizhalgal' Ravi, Thyagu, Ponnambalam) accost them and when Rajeswari refuses to succumb to their advances, they kill the couple. Rajeswari is them reborn as the child of a poor couple and once she remembers her past, starts taking her revenge. Once she has disposed off the first two, she finds out that the son of the third is a look-alike of Rasaiya. When Rasaiya ends up marrying the girl of his father's choice, Rajeswari attempts to prevent the consummation of their relationship and steal her husband back.",ramki ramyakrishnan sanghavi bhanupriya nizhalgalravi,bharathikannan,devotional
445329,Kutty,2001-08-10,2001,ta,[],0.7785,0.0,0,"The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.",ramesharavind p.shwetha easwarirao m.n.rajam vivek,janakivishwanathan,
1289060,Nila Kaalam,2001-08-03,2001,ta,[],0.7931,0.0,0,"Nila's mother, an actress, is separated from her husband. Nila has all the comforts but no friends. She befriends two boys who work in a garage. They plan a picnic that may change everything, forever.",rojaselvamani dinesh udayaraj ranjinipradeep nellaisundarrajan,gandhikrishna,
69591,Paarthale Paravasam,2001-11-14,2001,ta,"[10751, 28, 10749, 18]",0.7814,3.3,3,"A doctor becomes an instant heartthrob after making an appearance in a movie and soon marries a woman. But just after their marriage, the truth about his past is revealed, which leads to complications, taking the couple a step closer to divorce.",r.madhavan raghavalawrence simran vivek sneha,k.balachander,love triangle divorced couple
69652,Shahjahan,2001-11-14,2001,ta,[10749],0.9367,7.2,10,Shahjahan is about a man (Vijay) who helps out two lovers. He later realizes that he has been helping his friend Krishna to fall in love with the girl that he is in love with. But Vijay swallows his 'love' and beats up the villains in town for the sake of his friend.,vijay richapallod vivek kovaisarala krishna,raviappulu,
69399,Citizen,2001-06-08,2001,ta,"[18, 28, 80]",0.7327,6.3,23,"Three prominent members of society, a judge, a police official and a district collector are kidnapped in broad daylight by a man who calls himself 'Citizen'. As CBI Officer Sarojini (Nagma) follows his trail she finds clues to a shocking mystery, of a village called Attipatthi which simply disappeared off the map of India, and to which each of these men is connected",ajithkumar vasundharadas meena nagma nizhalgalravi,saravanasubbiah,
78625,Samuthiram,2001-08-31,2001,ta,[10751],0.9431,6.0,2,"Selvarasu is the head of the family and his two brothers Thangarasu and Chinnarasu are ready to give up their life for him. The three brothers think the world of their sister Rasamani. A rich man from the neighboring village feels insulted when Thangarasu mishandles his son, and to take revenge, he makes Rasamani his daughter-in-law. Starting with taking away all of the brothers' wealth, he insults them at every opportunity while ill-treating Rasamani. What transpires later forms the crux of the story.",r.sarathkumar murali manojbharathiraja abhirami kaveri,k.s.ravikumar,
108248,Friends,2001-01-14,2001,ta,"[10751, 18, 35]",1.2457,6.7,32,"A man values his best friend more than anything else in the world. One day he confesses a dark secret from their childhood to his wife, which is overheard by another. Once the secret gets out, the friendship is destroyed.",vijay suriya vadivelu devayani vijayalakshmi,siddique,friendship betrayal by friend enduring friendship
66346,Aalavandhan,2001-11-14,2001,ta,[53],0.9735,6.8,26,"Nandu and Vijay are brothers who were abused by their stepmother during their younger days. Nandhu, who is mentally ill, decides to kill Vijay's fiancee as he visualizes her as his stepmother.",kamalhaasan raveenatandon anuhasan milindgunaji kitugidwani,sureshkrissna,schizophrenia brother psychopath killer identical twin
