tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
240143,Annayya,2000-01-07,2000,te,"[10751, 35]",5.5965,5.8,5,"Rajaram (Chiranjeevi), owner of a fleet of lorries, meets Devi (Soundarya), a garment factory owner. After that acquaintance, she once seeks his help in dealing with two street ruffians, who were teasing her sisters, Lata (Chandini) and Geetha (Sishwa), and is shocked when the culprits turn out to be his brothers, Ravi (Ravi Teja) and Gopi (Venkat). Rajaram takes the incident lightly as the pranks of youngsters and is very lenient to them. With more such incidents, the two fall in love, with the brothers and sisters not far behind.  On his brothers' request, Rajaram approaches Devi for her sisters' hands in marriage to his brothers. But she curtly refuses her consent on grounds that the two are wayward drunkards. Rajaram reacts sharply to it and vows to get his brothers married to her sisters.  Since then on he is more exacting with his brothers and brings about a transformation in them. Devi agrees to their marriage.",chiranjeevi soundarya raviteja venkat chandni,muthyalasubbaiah,
281880,Vamsi,2000-10-04,2000,te,"[10749, 28]",1.1747,4.8,6,"Vamsi, a fashion designer, falls in love with Shilpa, the daughter of a wealthy industrialist. When she is abducted by Arjun, her father begs Vamsi to rescue her despite his initial dislike for him.",maheshbabu namratashirodkar krishna mayurikango nassar,b.gopal,australia love triangle romantic rivalry vacation fashion designer rivalry travel falling in love love interest model fashion relationships
80921,Badri,2000-04-20,2000,te,"[10749, 18, 10751]",0.9135,5.9,14,"Vennela accuses Badri of not loving her sincerely and challenges him that no one can love him like she does. However, their lives take a turn when he meets Sarayu and she falls madly in love with him.",pawankalyan ameeshapatel renudesai prakashraj kotasrinivasarao,purijagannadh,
280334,Goppinti Alludu,2000-07-21,2000,te,"[10751, 35]",0.6974,0.0,0,"Goppinti Alludu is a family based movie in which, Murali Manohar(Balakrishna) is son of the industrialist SVR(SPB). He arrives India from Switzerland after finishing his graduation. SVR fixes a girl for him and asks him to marry her. To get rid of unwanted marriage, Maohar escapes back to Switzerland. Sowmya(Simran) is the grand daughter of Achyuta Ramayya(Satyanarayana). Achyuta Ramayya",nandamuribalakrishna simran sanghavi s.p.balasubramaniam kotasrinivasarao,e.v.v.satyanarayana,
82200,Nuvve Kavali,2000-10-13,2000,te,"[18, 10751, 10749]",0.8059,6.8,4,Childhood friends Tarun and Madhu do not realise they are in love until it's too late.,tarun richapallod saikiran sunilvarma prema,k.vijayabhaskar,
307821,Devullu,2000-11-09,2000,te,[18],0.6818,8.0,2,Two children whose parents are about to get divorced visit seven holy shrines at their grandmother's behest who believes the gods are angry with her because she did not fulfill her promise.,nityashetty masternandan bablooprithiveeraj raasi sumantalwar,kodiramakrishna,
115265,Azad,2000-09-29,2000,te,"[28, 80, 18]",0.683,5.8,5,"Azad (Telugu: ఆజాద్) is a 2000 Telugu film directed by Tirupathi Swamy. It stars Akkineni Nagarjuna in the lead role and Raghuvaran, Shilpa Shetty, and Soundarya in other important roles. C. Ashwini Dutt produced the film and Mani Sharma composed music. The film was released on 29 September 2000 and was dubbed into Hindi as Mission Azaad. The film was later remade into Tamil as Velayudham. The story was inspired from 1989 hindi film Main Azaad Hoon in which Amitabh Bachchan played the lead role of Azaad.",nagarjunaakkineni raghuvaran soundarya shilpashettykundra prakashraj,tirupathiswamy,
232304,Yuvaraju,2000-04-14,2000,te,"[10749, 18]",0.9005,7.8,4,A young man and his classmate fall in love with each other and decide to get married; everything goes smoothly till an unknown woman lands up at their engagement ceremony; soon the truth about his past is revealed.,maheshbabu simran sakshishivananda tejasajja venumadhav,y.v.s.chowdary,love triangle couple tragic past engagement party family dynamics feelings college love complicated relationships revelations secrets
137466,Nuvvu Vastavani,2000-04-05,2000,te,[],0.4755,6.2,5,"The movie starts with Chinni (Nagarjuna) revealing, on a train journey from Pune to Hyderabad, that he just got out of jail after seven years. His past is revealed in a flash back.  He had been a singer, waiting for the big break. Indu (Simran Bagga) hears his voice, though she doesn't see him and becomes his fan. When Chinni realizes this, he tries to reveal who he is but circumstances place him and Indu in situations where she ends up thinking that he is a rowdy. Chinni ultimately becomes responsible for her losing her eyesight too.  He devotes himself to her from then onwards attending to her every need. She learns to respect and love him too, thinking that he is the singer and not knowing that he is the same person she thought was a rowdy.",nagarjunaakkineni simran kotasrinivasarao tanikellabharani brahmanandam,vrpratap,
1009712,Moodu Mukkalaata,2000-09-01,2000,te,"[10749, 35]",0.7201,0.0,0,"Three girls, Shravani, Lahari and Aliveni, are in love with Shanti Swaroop, a lecturer. His life takes a turn when these girls execute different ways to woo him.",jagapatibabu soundarya rambha raasi prakashraj,kraghavendrarao,
